hour,load,wind_available,solar_available,thermal,wind_used,solar_used,wind_curt,solar_curt,charge,discharge,unserved,energy_start_MWh,energy_MWh,soc,balance_error_MW
0,92,61.32,0,30,47.000000000000014,0,14.319999999999979,0,0,14.999999999999998,0,50,34.210526315795001,0.34210526315794998,1.4210854715202004e-14
1,87,64.340000000000003,0,30,64.340000000000003,0,0,0,7.3400000000000007,0,0,34.210526315795001,41.183526315795,0.41183526315794999,2.6645352591003757e-15
2,83,63.359999999999999,0,30,63.359999999999999,0,0,0,10.360000000000005,0,0,41.183526315795,51.025526315795005,0.51025526315795,-5.3290705182007514e-15
3,81,61.229999999999997,0,30,61.230000000000004,0,0,0,10.230000000000004,0,0,51.025526315795005,60.744026315795018,0.60744026315795019,0
4,82,58,0,30,58,0,0,0,6.0000000000000107,0,0,60.744026315795018,66.444026315795028,0.66444026315795024,-1.0658141036401503e-14
5,89,55.299999999999997,0,30,44.558174999975975,0,10.741825000024029,0,0,14.44182500002403,0,66.444026315795028,51.242105263143472,0.51242105263143467,0
6,103,55.350000000000001,0,32.650000000000006,55.350000000000001,0,0,0,0,15.000000000000002,0,51.242105263143472,35.452631578938465,0.35452631578938465,0
7,122,54.100000000000001,17.25,35.650000000000006,54.100000000000001,17.25,0,0,0,15.000000000000002,0,35.452631578938465,19.663157894733466,0.19663157894733466,0
8,139,50.340000000000003,49.479999999999997,30,50.339999999999996,49.480000000000004,0,0,0,9.180000000000005,0,19.663157894733466,10,0.10000000000000001,0
9,145,46.689999999999998,86.150000000000006,30,43.849999999999987,86.150000000000006,2.8400000000000176,0,15,0,0,10,24.250000000000004,0.24250000000000005,0
10,141,44.890000000000001,119.16,30,6.8399999999999963,119.16,38.050000000000004,0,15,0,0,24.250000000000004,38.500000000000007,0.38500000000000006,0
11,134,43.740000000000002,141.91,30,43.739999999999995,55.03499999999817,0,86.875000000001819,0,5.2250000000018257,0,38.500000000000007,33.000000000000007,0.33000000000000007,-2.8421709430404007e-14
12,128,41.520000000000003,150,30,41.520000000000003,71.480000000000004,0,78.519999999999996,15,0,0,33.000000000000007,47.250000000000014,0.47250000000000014,0
13,125,39.090000000000003,141.91,30,39.089999999999996,70.909999999999982,0,71.000000000000014,15,0,0,47.250000000000014,61.500000000000014,0.6150000000000001,-2.8421709430404007e-14
14,127,39.299999999999997,119.16,30,39.299999999999997,72.700000000000003,0,46.459999999999994,15,0,0,61.500000000000014,75.750000000000014,0.75750000000000017,0
15,133,42.07,86.150000000000006,30,31.849999999999994,86.150000000000006,10.220000000000006,0,15,0,0,75.750000000000014,90,0.90000000000000002,0
16,143,42.859999999999999,49.479999999999997,50.660000000000011,42.859999999999999,49.480000000000004,0,0,0,9.5916719133161334e-15,0,90,90,0.90000000000000002,0
17,154,41.299999999999997,17.25,80.660000000000011,41.299999999999997,17.25,0,0,0,14.790000000000012,0,90,74.431578947373865,0.74431578947373866,2.8421709430404007e-14
18,160,42.140000000000001,0,110.66,42.140000000000001,0,0,0,0,7.1999999999999984,0,74.431578947373865,66.852631578955439,0.66852631578955435,0
19,162,43.409999999999997,0,118.59,43.410000000000004,0,0,0,0,0,0,66.852631578955439,66.852631578955467,0.66852631578955468,0
20,151,46.390000000000001,0,96.559999999986701,46.390000000000001,0,0,0,0,8.050000000013279,0,66.852631578955467,58.378947368418132,0.58378947368418133,-2.8421709430404007e-14
21,132,52.109999999999999,0,79.890000000000001,52.109999999999999,0,0,0,0,0,0,58.378947368418132,58.378947368418132,0.58378947368418133,0
22,112,54.149999999999999,0,49.890000000000008,54.149999999999999,0,0,0,0,7.9600000000000017,0,58.378947368418132,50,0.5,1.4210854715202004e-14
23,99,54.939999999999998,0,44.059999999999995,54.939999999999998,0,0,0,0,0,0,50,50,0.5,0
