total_load_MWh,renewable_available_MWh,renewable_used_MWh,curtailment_MWh,thermal_generation_MWh,unserved_MWh,charge_MWh,discharge_MWh,renewable_utilization_pct,curtailment_rate_pct,operating_cost_CNY,scenario,energy_capacity_MWh,power_capacity_MW,num_steps,time_step_hours,load_shedding_MWh,storage_discharge_MWh,initial_inventory_supply_MWh,total_cost_CNY,thermal_cost_CNY,storage_cost_CNY,curtailment_cost_CNY,load_shedding_cost_CNY,simulation_hours,storage_capex_CNY,capital_recovery_factor,year_fraction,storage_annualized_investment_CNY_per_year,storage_annual_fixed_om_CNY_per_year,storage_investment_allocated_CNY,storage_fixed_om_CNY,storage_variable_om_CNY,storage_om_cost_CNY,operating_cost_excluding_investment_CNY,initial_inventory_thermal_value_CNY,storage_utilization_pct,solver_status,max_residual
2924,2175.8400000000001,1702.9300000000001,472.91000000000003,1221.0699999999999,0,0,0,78.265405544525322,21.734594455474667,521956.5,E000_P00,0,0,24,1,0,0,0,521956.5,427374.5,0,94582,0,24,0,0.09634228760924439,0.0027397260273972603,0,0,0,0,0,0,521956.5,0,,Optimal,1.4210854715202004e-14
2924,2175.8400000000001,1728.6021052631504,447.23789473684985,1199.1196398891921,0,38.171745152352628,34.450000000010313,79.445276548971904,20.554723451028099,509483.95290858729,E010_P05,10,5,24,1,0,34.450000000010313,0,514105.7698136121,419691.87396121724,4966.3169050248807,89447.57894736997,0,24,14500000,0.09634228760924439,0.0027397260273972603,1396963.1703340437,290000,3827.2963570795719,794.52054794520552,344.50000000010311,1139.0205479453086,510278.47345653252,0,70.833333333333343,Optimal,1.8425261316679098e-12
2924,2175.8400000000001,1732.8759131578845,442.96408684211548,1196.355526315783,0,53.655789473684202,48.42435000001695,79.641697604506049,20.358302395493947,507801.49507894728,E010_P10,10,10,24,1,0,48.42435000001695,0,513220.17696759704,418724.43421052402,5902.9253886499082,88592.817368423101,0,24,17000000,0.09634228760924439,0.0027397260273972603,1637818.8893571547,340000,4487.1750393346701,931.50684931506851,484.24350000016949,1415.7503493152381,508733.00192826235,0,75,Optimal,2.801314735734195e-12
2924,2175.8400000000001,1732.8759131578845,442.96408684211559,1196.3555263157828,0,53.655789473684209,48.42435000001695,79.641697604506049,20.358302395493951,507801.49507894722,E010_P15,10,15,24,1,0,48.42435000001695,0,514017.04195122194,418724.43421052396,6699.7903722748697,88592.817368423115,0,24,19500000,0.09634228760924439,0.0027397260273972603,1878674.6083802655,390000,5147.0537215897684,1068.4931506849316,484.24350000016949,1552.736650685101,508869.98822963214,0,75,Optimal,2.7977620220553945e-12
2924,2175.8400000000001,1732.8759131578845,442.96408684211553,1196.3555263157828,0,53.655789473684202,48.424350000016943,79.641697604506049,20.358302395493947,507801.49507894722,E010_P20,10,20,24,1,0,48.424350000016943,0,514813.90693484689,418724.43421052396,7496.6553558998312,88592.817368423101,0,24,22000000,0.09634228760924439,0.0027397260273972603,2119530.3274033763,440000,5806.9324038448667,1205.4794520547946,484.24350000016943,1689.722952054964,509006.97453100205,0,75,Optimal,2.7995383788947947e-12
2924,2175.8400000000001,1732.8759131578845,442.96408684211559,1196.3555263157828,0,53.655789473684202,48.42435000001695,79.641697604506049,20.358302395493951,507801.49507894722,E010_P25,10,25,24,1,0,48.42435000001695,0,515610.77191847184,418724.43421052396,8293.5203395247936,88592.817368423115,0,24,24500000,0.09634228760924439,0.0027397260273972603,2360386.0464264876,490000,6466.8110860999659,1342.4657534246576,484.24350000016949,1826.709253424827,509143.9608323719,0,75,Optimal,2.7994273565923322e-12
2924,2175.8400000000001,1732.8759131578845,442.96408684211553,1196.3555263157828,0,53.655789473684216,48.424350000016965,79.641697604506049,20.358302395493947,507801.49507894722,E010_P30,10,30,24,1,0,48.424350000016965,0,516407.6369020968,418724.43421052396,9090.3853231497542,88592.817368423101,0,24,27000000,0.09634228760924439,0.0027397260273972603,2601241.7654495984,540000,7126.6897683550642,1479.4520547945206,484.24350000016966,1963.6955547946902,509280.94713374175,0,75,Optimal,2.801314735734195e-12
2924,2175.8400000000001,1732.8759131578845,442.96408684211559,1196.355526315783,0,53.655789473684202,48.424350000016936,79.641697604506049,20.358302395493951,507801.49507894728,E010_P35,10,35,24,1,0,48.424350000016936,0,517204.50188572181,418724.43421052402,9887.2503067747166,88592.817368423115,0,24,29500000,0.09634228760924439,0.0027397260273972603,2842097.4844727097,590000,7786.5684506101634,1616.4383561643835,484.24350000016938,2100.6818561645528,509417.93343511166,0,70.833333333333343,Optimal,2.7994273565923322e-12
2924,2175.8400000000001,1732.8759131578845,442.96408684211553,1196.3555263157828,0,53.655789473684209,48.424350000016965,79.641697604506049,20.358302395493947,507801.49507894722,E010_P40,10,40,24,1,0,48.424350000016965,0,518001.36686934676,418724.43421052396,10684.115290399677,88592.817368423101,0,24,32000000,0.09634228760924439,0.0027397260273972603,3082953.2034958205,640000,8446.4471328652617,1753.4246575342465,484.24350000016966,2237.6681575344164,509554.9197364815,0,75,Optimal,2.801314735734195e-12
2924,2175.8400000000001,1732.8759131578845,442.96408684211565,1196.3555263157828,0,53.655789473684202,48.424350000016943,79.641697604506049,20.358302395493954,507801.49507894722,E010_P45,10,45,24,1,0,48.424350000016943,0,518798.23185297172,418724.43421052396,11480.980274024638,88592.81736842313,0,24,34500000,0.09634228760924439,0.0027397260273972603,3323808.9225189313,690000,9106.325815120359,1890.4109589041095,484.24350000016943,2374.6544589042787,509691.90603785135,0,70.833333333333343,Optimal,2.8048674494129955e-12
