hour,load,wind_available,solar_available,thermal,wind_used,solar_used,wind_curt,solar_curt,charge,discharge,unserved,energy_start_MWh,energy_MWh,soc,balance_error_MW
0,92,61.32,0,30,50.599999999995994,0,10.720000000003999,0,0,11.400000000003994,0,15,3,0.10000000000000001,-1.4210854715202004e-14
1,87,64.340000000000003,0,30,56.999999999999993,0,7.3400000000000105,0,0,0,0,3,3,0.10000000000000001,0
2,83,63.359999999999999,0,30,62.033157894736831,0,1.326842105263168,0,9.0331578947368314,0,0,3,11.581499999999989,0.38604999999999967,0
3,81,61.229999999999997,0,30,61.230000000000004,0,0,0,10.230000000000006,0,0,11.581499999999989,21.299999999999997,0.70999999999999985,-1.7763568394002505e-15
4,82,58,0,30,58,0,0,0,6.0000000000000053,0,0,21.299999999999997,27,0.90000000000000002,-5.3290705182007514e-15
5,89,55.299999999999997,0,30,55.300000000000004,0,0,0,0,3.6999999999999931,0,27,23.105263157896108,0.77017543859653692,0
6,103,55.350000000000001,0,30,55.350000000000001,0,0,0,0,17.649999999999999,0,23.105263157896108,4.5263157894815578,0.15087719298271859,0
7,122,54.100000000000001,17.25,50.650000000000006,54.100000000000001,17.25,0,0,0,0,0,4.5263157894815578,4.5263157894815604,0.15087719298271868,0
8,139,50.340000000000003,49.479999999999997,37.729999999991996,50.339999999999996,49.480000000000004,0,0,0,1.45000000000799,0,4.5263157894815604,3,0.10000000000000001,0
9,145,46.689999999999998,86.150000000000006,30,46.690000000000005,86.150000000000006,0,0,17.840000000000014,0,0,3,19.948000000000015,0.66493333333333382,-1.0658141036401503e-14
10,141,44.890000000000001,119.16,30,44.890000000000001,50.009399999994358,0,69.150600000005639,0,16.100600000005649,0,19.948000000000015,3,0.10000000000000001,0
11,134,43.740000000000002,141.91,30,43.739999999999995,85.52315789473684,0,56.386842105263156,25.263157894736839,0,0,3,27,0.90000000000000002,-1.7763568394002505e-14
12,128,41.520000000000003,150,30,41.520000000000003,33.679999999992013,0,116.32000000000798,0,22.80000000000798,0,27,3,0.10000000000000001,0
13,125,39.090000000000003,141.91,30,39.089999999999996,81.173157894736818,0,60.736842105263179,25.263157894736839,0,0,3,27,0.90000000000000002,-1.7763568394002505e-14
14,127,39.299999999999997,119.16,30,39.299999999999997,34.938949999992019,0,84.221050000007978,0,22.76105000000798,0,27,3.0409999999999866,0.10136666666666622,0
15,133,42.07,86.150000000000006,30,42.07,86.150000000000006,0,0,25.22000000000001,0,0,3.0409999999999866,27,0.90000000000000002,-1.0658141036401503e-14
16,143,42.859999999999999,49.479999999999997,50.660000000000004,42.859999999999999,49.480000000000004,0,0,0,0,0,27,27,0.90000000000000002,0
17,154,41.299999999999997,17.25,80.659999999999997,41.299999999999997,17.25,0,0,0,14.79000000000001,0,27,11.431578947373859,0.38105263157912866,0
18,160,42.140000000000001,0,110.66,42.140000000000001,0,0,0,0,7.1999999999999895,0,11.431578947373859,3.8526315789554713,0.12842105263184905,0
19,162,43.409999999999997,0,118.59,43.410000000000004,0,0,0,0,0,0,3.8526315789554713,3.8526315789554713,0.12842105263184905,0
20,151,46.390000000000001,0,104.61,46.390000000000001,0,0,0,0,0,0,3.8526315789554713,3.8526315789554713,0.12842105263184905,0
21,132,52.109999999999999,0,79.889999999999986,52.109999999999999,0,0,0,0,0,0,3.8526315789554713,3.8526315789554713,0.12842105263184905,0
22,112,54.149999999999999,0,57.850000000000009,54.149999999999999,0,0,0,0,0,0,3.8526315789554713,3.8526315789554713,0.12842105263184905,0
23,99,54.939999999999998,0,55.794072022152143,54.939999999999998,0,0,0,11.734072022152139,0,0,3.8526315789554713,15,0.5,-5.3290705182007514e-15
