total_load_MWh,renewable_available_MWh,renewable_used_MWh,curtailment_MWh,thermal_generation_MWh,unserved_MWh,charge_MWh,discharge_MWh,renewable_utilization_pct,curtailment_rate_pct,operating_cost_CNY,scenario,energy_capacity_MWh,power_capacity_MW,num_steps,time_step_hours,load_shedding_MWh,storage_discharge_MWh,initial_inventory_supply_MWh,total_cost_CNY,thermal_cost_CNY,storage_cost_CNY,curtailment_cost_CNY,load_shedding_cost_CNY,simulation_hours,storage_capex_CNY,capital_recovery_factor,year_fraction,storage_annualized_investment_CNY_per_year,storage_annual_fixed_om_CNY_per_year,storage_investment_allocated_CNY,storage_fixed_om_CNY,storage_variable_om_CNY,storage_om_cost_CNY,operating_cost_excluding_investment_CNY,initial_inventory_thermal_value_CNY,storage_utilization_pct,solver_status,max_residual,cost_difference_CNY
2924.0,2175.84,1805.886152839313,369.953847160687,1131.7499999999761,0.0,139.85797783931577,126.22182500002668,82.9971943175653,17.00280568243469,471365.48768212926,E060_P25,60,25,24,1.0,0.0,126.22182500002668,0.0,489055.8903186035,396112.4999999916,18952.620886474415,73990.7694321374,0.0,24.0,55500000.0,0.09634228760924439,0.0027397260273972603,5346996.962313063,1110000.0,14649.306746063188,3041.095890410959,1262.2182500002668,4303.314140411226,474406.5835725403,0.0,79.16666666666666,Optimal,9.2157392828085e-12,2697.2425787074026
2924.0,2175.84,1813.8275749999675,362.0124250000324,1123.0199999999907,0.0,131.77,118.92242500004166,83.36217621699976,16.637823783000236,466648.7092500037,E070_P20,70,20,24,1.0,0.0,118.92242500004166,0.0,486410.96084390266,393056.99999999674,20951.475843899465,72402.48500000648,0.0,24.0,62000000.0,0.09634228760924439,0.0027397260273972603,5973221.831773153,1240000.0,16364.991319926445,3397.2602739726026,1189.2242500004165,4586.484523973019,470045.9695239762,0.0,79.16666666666666,Optimal,7.37543359718984e-12,52.313104006578214
2924.0,2175.84,1817.1675378808432,358.67246211915693,1122.3699999999906,0.0,159.35936288086316,143.82182500002935,83.515678445145,16.484321554854994,466002.2106738283,E070_P30,70,30,24,1.0,0.0,143.82182500002935,0.0,486720.70024807734,392829.4999999967,22156.707824249297,71734.49242383138,0.0,24.0,65000000.0,0.09634228760924439,0.0027397260273972603,6262248.694600886,1300000.0,17156.845738632564,3561.6438356164385,1438.2182500002934,4999.862085616732,469563.8545094448,0.0,79.16666666666666,Optimal,1.105959768210596e-11,362.05250818125205
2924.0,2175.84,1820.2275749999626,355.6124250000374,1118.5699999999892,0.0,151.77000000000004,136.97242500004796,83.65631549194622,16.34368450805378,463991.7092500042,E080_P25,80,25,24,1.0,0.0,136.97242500004796,0.0,486782.0477816781,391499.4999999962,24160.06278167438,71122.48500000748,0.0,24.0,71500000.0,0.09634228760924439,0.0027397260273972603,6888473.564060974,1430000.0,18872.53031249582,3917.8082191780823,1369.7242500004795,5287.532469178562,467909.51746918226,0.0,83.33333333333334,Optimal,9.208633855450898e-12,423.40004178200616
