hour,load,wind_available,solar_available,thermal,wind_used,solar_used,wind_curt,solar_curt,charge,discharge,unserved,energy_start_MWh,energy_MWh,soc,balance_error_MW
0,92,61.32,0,30,54.178174999997239,0,7.1418250000027541,0,0,7.8218250000027556,0,30,21.766499999999986,0.36277499999999979,0
1,87,64.340000000000003,0,30,64.340000000000003,0,0,0,7.3400000000000007,0,0,21.766499999999986,28.739499999999989,0.47899166666666648,2.6645352591003757e-15
2,83,63.359999999999999,0,30,63.359999999999999,0,0,0,10.359999999999998,0,0,28.739499999999989,38.581499999999991,0.64302499999999985,1.7763568394002505e-15
3,81,61.229999999999997,0,30,61.230000000000004,0,0,0,10.230000000000004,0,0,38.581499999999991,48.299999999999997,0.80499999999999994,0
4,82,58,0,30,58,0,0,0,6.0000000000000036,0,0,48.299999999999997,54,0.90000000000000002,-3.5527136788005009e-15
5,89,55.299999999999997,0,30,55.300000000000004,0,0,0,0,3.6999999999999904,0,54,50.105263157896111,0.83508771929826853,0
6,103,55.350000000000001,0,30,55.350000000000001,0,0,0,0,17.650000000000006,0,50.105263157896111,31.526315789481551,0.52543859649135916,0
7,122,54.100000000000001,17.25,30,54.100000000000001,17.25,0,0,0,20.650000000000006,0,31.526315789481551,9.7894736842259942,0.16315789473709991,0
8,139,50.340000000000003,49.479999999999997,35.579999999984032,50.339999999999996,49.480000000000004,0,0,0,3.6000000000159531,0,9.7894736842259942,6,0.10000000000000001,0
9,145,46.689999999999998,86.150000000000006,30,46.690000000000005,86.150000000000006,0,0,17.840000000000014,0,0,6,22.948000000000018,0.38246666666666695,-1.0658141036401503e-14
10,141,44.890000000000001,119.16,30,4.9279778393157514,119.16,39.962022160684249,0,13.087977839315748,0,0,22.948000000000018,35.381578947349979,0.58969298245583301,7.1054273576010019e-15
11,134,43.740000000000002,141.91,30,43.739999999999995,35.260000000000005,0,106.64999999999999,0,25,0,35.381578947349979,9.0657894736749824,0.15109649122791638,0
12,128,41.520000000000003,150,30,41.520000000000003,81.47999999999999,0,68.52000000000001,25.000000000000004,0,0,9.0657894736749824,32.81578947367499,0.54692982456124983,-3.5527136788005009e-15
13,125,39.090000000000003,141.91,30,39.089999999999996,30.909999999999993,0,111,0,25,0,32.81578947367499,6.499999999999984,0.10833333333333307,-1.4210854715202004e-14
14,127,39.299999999999997,119.16,30,2.8399999999999963,119.16,36.460000000000001,0,25.000000000000004,0,0,6.499999999999984,30.249999999999989,0.50416666666666654,-3.5527136788005009e-15
15,133,42.07,86.150000000000006,30,41.849999999999987,86.150000000000006,0.22000000000001307,0,25.000000000000004,0,0,30.249999999999989,54,0.90000000000000002,-3.5527136788005009e-15
16,143,42.859999999999999,49.479999999999997,50.659999999999997,42.859999999999999,49.480000000000004,0,0,0,6.390067212137566e-15,0,54,54,0.90000000000000002,0
17,154,41.299999999999997,17.25,80.659999999999997,41.299999999999997,17.25,0,0,0,14.790000000000013,0,54,38.431578947373843,0.64052631578956409,0
18,160,42.140000000000001,0,110.66000000000001,42.140000000000001,0,0,0,0,7.200000000000002,0,38.431578947373843,30.852631578955464,0.51421052631592434,0
19,162,43.409999999999997,0,118.58999999999999,43.410000000000004,0,0,0,0,0,0,30.852631578955464,30.852631578955464,0.51421052631592434,0
20,151,46.390000000000001,0,104.60999999999997,46.390000000000001,0,0,0,0,0,0,30.852631578955464,30.852631578955464,0.51421052631592434,-2.8421709430404007e-14
21,132,52.109999999999999,0,79.890000000000001,52.109999999999999,0,0,0,0,0,0,30.852631578955464,30.852631578955464,0.51421052631592434,0
22,112,54.149999999999999,0,57.039999999992048,54.149999999999999,0,0,0,0,0.81000000000795158,0,30.852631578955464,30.000000000000011,0.50000000000000022,-1.4210854715202004e-14
23,99,54.939999999999998,0,44.060000000000031,54.939999999999998,0,0,0,0,0,0,30.000000000000011,30,0.5,2.8421709430404007e-14
