scenario,energy_capacity_MWh,power_capacity_MW,total_cost_CNY,thermal_cost_CNY,storage_cost_CNY,curtailment_cost_CNY,load_shedding_cost_CNY,renewable_utilization_pct,curtailment_rate_pct,num_steps,time_step_hours,thermal_generation_MWh,curtailment_MWh,load_shedding_MWh,storage_discharge_MWh,initial_inventory_supply_MWh,simulation_hours,storage_capex_CNY,capital_recovery_factor,year_fraction,storage_annualized_investment_CNY_per_year,storage_annual_fixed_om_CNY_per_year,storage_investment_allocated_CNY,storage_fixed_om_CNY,storage_variable_om_CNY,storage_om_cost_CNY,operating_cost_excluding_investment_CNY,initial_inventory_thermal_value_CNY,solver_status,storage_utilization_pct,storage_charge_MWh,operating_objective_CNY,max_constraint_residual
E020_P15,20,15,509286.925412,413548.118421,10887.3430437,84851.4639474,0,80.5014468097,19.4985531903,24,1,1181.56605263,424.257319737,0,84.684425,0,24,31500000,0.0963422876092,0.0027397260274,3034782.05969,630000,8314.47139641,1726.02739726,846.84425,2572.87164726,500972.454016,0,Optimal,79.1666666667,93.8331578947,499246.426618,4.98445729136e-12
E020_P20,20,20,510025.902238,413548.118421,11734.0830273,84743.7007895,0,80.5262103855,19.4737896145,24,1,1181.56605263,423.718503947,0,89.671925,0,24,34000000,0.0963422876092,0.0027397260274,3275637.77871,680000,8974.35007867,1863.01369863,896.71925,2759.73294863,501051.552159,0,Optimal,75,99.3594736842,499188.538461,5.59907675779e-12
E020_P25,20,25,510822.767221,413548.118421,12530.9480109,84743.7007895,0,80.5262103855,19.4737896145,24,1,1181.56605263,423.718503947,0,89.671925,0,24,36500000,0.0963422876092,0.0027397260274,3516493.49774,730000,9634.22876092,2000,896.71925,2896.71925,501188.538461,0,Optimal,66.6666666667,99.3594736842,499188.538461,5.59885471318e-12
E020_P30,20,30,511619.632205,413548.118421,13327.8129945,84743.7007895,0,80.5262103855,19.4737896145,24,1,1181.56605263,423.718503947,0,89.671925,0,24,39000000,0.0963422876092,0.0027397260274,3757349.21676,780000,10294.1074432,2136.98630137,896.71925,3033.70555137,501325.524762,0,Optimal,70.8333333333,99.3594736842,499188.538461,5.60262947147e-12
E020_P35,20,35,512416.497189,413548.118421,14124.6779782,84743.7007895,0,80.5262103855,19.4737896145,24,1,1181.56605263,423.718503947,0,89.671925,0,24,41500000,0.0963422876092,0.0027397260274,3998204.93578,830000,10953.9861254,2273.97260274,896.71925,3170.69185274,501462.511063,0,Optimal,70.8333333333,99.3594736842,499188.538461,5.59885471318e-12
E020_P40,20,40,513213.362172,413548.118421,14921.5429618,84743.7007895,0,80.5262103855,19.4737896145,24,1,1181.56605263,423.718503947,0,89.671925,0,24,44000000,0.0963422876092,0.0027397260274,4239060.65481,880000,11613.8648077,2410.95890411,896.71925,3307.67815411,501599.497365,0,Optimal,70.8333333333,99.3594736842,499188.538461,5.6132876125e-12
E020_P45,20,45,514010.227156,413548.118421,15718.4079454,84743.7007895,0,80.5262103855,19.4737896145,24,1,1181.56605263,423.718503947,0,89.671925,0,24,46500000,0.0963422876092,0.0027397260274,4479916.37383,930000,12273.7434899,2547.94520548,896.71925,3444.66445548,501736.483666,0,Optimal,70.8333333333,99.3594736842,499188.538461,5.59907675779e-12
E020_P50,20,50,514807.09214,413548.118421,16515.272929,84743.7007895,0,80.5262103855,19.4737896145,24,1,1181.56605263,423.718503947,0,89.671925,0,24,49000000,0.0963422876092,0.0027397260274,4720772.09285,980000,12933.6221722,2684.93150685,896.71925,3581.65075685,501873.469967,0,Optimal,75,99.3594736842,499188.538461,5.59907675779e-12
E030_P05,30,5,511294.621717,413101.5,12706.4707478,85486.6509695,0,80.3554831767,19.6445168233,24,1,1180.29,427.433254848,0,43.475,0,24,38500000,0.0963422876092,0.0027397260274,3709178.07296,770000,10162.1317067,2109.5890411,434.75,2544.3390411,501132.490011,0,Optimal,83.3333333333,48.1717451524,499022.90097,1.84563475614e-12
E030_P10,30,10,506630.47936,409797.189751,13734.6857314,83098.6038781,0,80.904247583,19.095752417,24,1,1170.84911357,415.493019391,0,66.61,0,24,41000000,0.0963422876092,0.0027397260274,3950033.79198,820000,10822.010389,2246.57534247,666.1,2912.67534247,495808.468971,0,Optimal,79.1666666667,73.8060941828,493561.893629,3.68771679859e-12
E030_P15,30,15,505119.144344,408482.925208,14740.8507151,81895.3684211,0,81.1807466493,18.8192533507,24,1,1167.09407202,409.476842105,0,87.54,0,24,43500000,0.0963422876092,0.0027397260274,4190889.511,870000,11481.8890712,2383.56164384,875.4,3258.96164384,493637.255273,0,Optimal,70.8333333333,96.9972299169,491253.693629,5.44986278328e-12
E030_P20,30,20,505729.135328,408482.925208,15698.7216987,81547.4884211,0,81.2606881891,18.7393118109,24,1,1167.09407202,407.737442105,0,103.6406,0,24,46000000,0.0963422876092,0.0027397260274,4431745.23003,920000,12141.7677535,2520.54794521,1036.406,3556.95394521,493587.367574,0,Optimal,70.8333333333,114.837229917,491066.819629,6.65068000671e-12
E030_P25,30,25,506368.875311,408482.925208,16630.9616823,81254.9884211,0,81.3279036094,18.6720963906,24,1,1167.09407202,406.274942105,0,117.1781,0,24,48500000,0.0963422876092,0.0027397260274,4672600.94905,970000,12801.6464357,2657.53424658,1171.781,3829.31524658,493567.228875,0,Optimal,66.6666666667,129.837229917,490909.694629,8.30979729471e-12
E030_P30,30,30,507157.922637,408482.925208,17434.5621659,81240.4352632,0,81.3312478714,18.6687521286,24,1,1167.09407202,406.202176316,0,117.85165,0,24,51000000,0.0963422876092,0.0027397260274,4913456.66807,1020000,13461.525118,2794.52054795,1178.5165,3973.03704795,493696.397519,0,Optimal,66.6666666667,130.583545706,490901.876971,8.40572056404e-12
E030_P35,30,35,507954.78762,408482.925208,18231.4271496,81240.4352632,0,81.3312478714,18.6687521286,24,1,1167.09407202,406.202176316,0,117.85165,0,24,53500000,0.0963422876092,0.0027397260274,5154312.38709,1070000,14121.4038003,2931.50684932,1178.5165,4110.02334932,493833.38382,0,Optimal,70.8333333333,130.583545706,490901.876971,8.39861513668e-12
E030_P40,30,40,508751.652604,408482.925208,19028.2921332,81240.4352632,0,81.3312478714,18.6687521286,24,1,1167.09407202,406.202176316,0,117.85165,0,24,56000000,0.0963422876092,0.0027397260274,5395168.10612,1120000,14781.2824825,3068.49315068,1178.5165,4247.00965069,493970.370122,0,Optimal,66.6666666667,130.583545706,490901.876971,8.40572056404e-12
E030_P45,30,45,509548.517588,408482.925208,19825.1571168,81240.4352632,0,81.3312478714,18.6687521286,24,1,1167.09407202,406.202176316,0,117.85165,0,24,58500000,0.0963422876092,0.0027397260274,5636023.82514,1170000,15441.1611648,3205.47945205,1178.5165,4383.99595206,494107.356423,0,Optimal,70.8333333333,130.583545706,490901.876971,8.40216785036e-12
E030_P50,30,50,510345.382571,408482.925208,20622.0221004,81240.4352632,0,81.3312478714,18.6687521286,24,1,1167.09407202,406.202176316,0,117.85165,0,24,61000000,0.0963422876092,0.0027397260274,5876879.54416,1220000,16101.039847,3342.46575342,1178.5165,4520.98225342,494244.342724,0,Optimal,70.8333333333,130.583545706,490901.876971,8.39861513668e-12
E040_P05,40,5,513009.552171,411771.5,16548.6726692,84689.3795014,0,80.538693217,19.461306783,24,1,1176.49,423.446897507,0,45.2,0,24,50500000,0.0963422876092,0.0027397260274,4865285.52427,1010000,13329.5493816,2767.12328767,452,3219.12328767,499680.002789,0,Optimal,87.5,50.0831024931,496912.879501,1.84741111298e-12
E040_P10,40,10,504032.124868,405769,17640.0174028,80623.1074654,0,81.4731075205,18.5268924795,24,1,1159.34,403.115537327,0,74.647975,0,24,53000000,0.0963422876092,0.0027397260274,5106141.24329,1060000,13989.4280638,2904.10958904,746.47975,3650.58933904,490042.696804,0,Optimal,83.3333333333,82.7124376731,487138.587215,3.68949315543e-12
E040_P15,40,15,502333.981307,404349.240997,18664.3026365,79320.4376731,0,81.77245623,18.22754377,24,1,1155.28354571,396.602188366,0,97.39,0,24,55500000,0.0963422876092,0.0027397260274,5346996.96231,1110000,14649.3067461,3041.09589041,973.9,4014.99589041,487684.674561,0,Optimal,79.1666666667,107.911357341,484643.57867,5.52979884105e-12
E040_P20,40,20,503012.458479,404349.240997,19563.1676201,79100.0498615,0,81.8231005355,18.1768994645,24,1,1155.28354571,395.500249308,0,107.59,0,24,58000000,0.0963422876092,0.0027397260274,5587852.68134,1160000,15309.1854283,3178.08219178,1075.9,4253.98219178,487703.273051,0,Optimal,75,119.213296399,484525.190859,7.37099270509e-12
E040_P25,40,25,503653.932496,404349.240997,20493.9136037,78810.7778947,0,81.8895741657,18.1104258343,24,1,1155.28354571,394.053889474,0,120.9781,0,24,60500000,0.0963422876092,0.0027397260274,5828708.40036,1210000,15969.0641106,3315.06849315,1209.781,4524.84949315,487684.868385,0,Optimal,75,134.047756233,484369.799892,8.3093532055e-12
E040_P30,40,30,504343.742979,404349.240997,21383.0140873,78611.4878947,0,81.935370272,18.064629728,24,1,1155.28354571,393.057439474,0,130.20165,0,24,63000000,0.0963422876092,0.0027397260274,6069564.11938,1260000,16628.9427928,3452.05479452,1302.0165,4754.07129452,487714.800186,0,Optimal,75,144.267756233,484262.745392,9.97957272375e-12
E040_P35,40,35,505063.423752,404349.240997,22246.379071,78467.8036842,0,81.9683883732,18.0316116268,24,1,1155.28354571,392.339018421,0,136.85165,0,24,65500000,0.0963422876092,0.0027397260274,6310419.83841,1310000,17288.8214751,3589.04109589,1368.5165,4957.55759589,487774.602277,0,Optimal,75,151.636177285,484185.561181,1.11977094264e-11
E040_P40,40,40,505860.288736,404349.240997,23043.2440546,78467.8036842,0,81.9683883732,18.0316116268,24,1,1155.28354571,392.339018421,0,136.85165,0,24,68000000,0.0963422876092,0.0027397260274,6551275.55743,1360000,17948.7001573,3726.02739726,1368.5165,5094.54389726,487911.588579,0,Optimal,75,151.636177285,484185.561181,1.12052589429e-11
E040_P45,40,45,506657.15372,404349.240997,23840.1090382,78467.8036842,0,81.9683883732,18.0316116268,24,1,1155.28354571,392.339018421,0,136.85165,0,24,70500000,0.0963422876092,0.0027397260274,6792131.27645,1410000,18608.5788396,3863.01369863,1368.5165,5231.53019863,488048.57488,0,Optimal,75,151.636177285,484185.561181,1.11981535156e-11
E040_P50,40,50,507454.018703,404349.240997,24636.9740218,78467.8036842,0,81.9683883732,18.0316116268,24,1,1155.28354571,392.339018421,0,136.85165,0,24,73000000,0.0963422876092,0.0027397260274,7032986.99547,1460000,19268.4575218,4000,1368.5165,5368.5165,488185.561181,0,Optimal,75,151.636177285,484185.561181,1.11981535156e-11
E050_P05,50,5,514700.398829,410441.5,20411.6245906,83847.2742382,0,80.7322058979,19.2677941021,24,1,1172.69,419.236371191,0,49,0,24,62500000,0.0963422876092,0.0027397260274,6021392.97558,1250000,16496.9670564,3424.65753425,490,3914.65753425,498203.431772,0,Optimal,87.5,54.2936288089,494778.774238,1.84741111298e-12
E050_P10,50,10,504358.971526,403571,21502.9693242,79285.0022022,0,81.7805991704,18.2194008296,24,1,1153.06,396.425011011,0,78.447975,0,24,65000000,0.0963422876092,0.0027397260274,6262248.6946,1300000,17156.8457386,3561.64383562,784.47975,4346.12358562,487202.125788,0,Optimal,83.3333333333,86.9229639889,483640.481952,3.69482222595e-12
E050_P15,50,15,499617.769595,400215.556787,22528.3478079,76873.865,0,82.3346695989,17.6653304011,24,1,1143.47301939,384.369325,0,101.299325,0,24,67500000,0.0963422876092,0.0027397260274,6503104.41362,1350000,17816.7244209,3698.63013699,1012.99325,4711.62338699,481801.045174,0,Optimal,79.1666666667,112.243019391,478102.415037,5.52802248421e-12
E050_P20,50,20,500294.941019,400215.556787,23428.3377915,76651.0464404,0,82.3858724813,17.6141275187,24,1,1143.47301939,383.255232202,0,111.611825,0,24,70000000,0.0963422876092,0.0027397260274,6743960.13265,1400000,18476.6031031,3835.61643836,1116.11825,4951.73468836,481818.337915,0,Optimal,79.1666666667,123.669612188,477982.721477,7.37099270509e-12
E050_P25,50,25,500975.73952,400215.556787,24325.2027751,76434.9799585,0,82.4355237613,17.5644762387,24,1,1143.47301939,382.174899792,0,121.611825,0,24,72500000,0.0963422876092,0.0027397260274,6984815.85167,1450000,19136.4817854,3972.60273973,1216.11825,5188.72098973,481839.257735,0,Optimal,79.1666666667,134.749944598,477866.654995,9.20863385545e-12
E050_P30,50,30,501656.538022,400215.556787,25222.0677587,76218.9134765,0,82.4851750413,17.5148249587,24,1,1143.47301939,381.094567382,0,131.611825,0,24,75000000,0.0963422876092,0.0027397260274,7225671.57069,1500000,19796.3604677,4109.5890411,1316.11825,5425.7072911,481860.177554,0,Optimal,79.1666666667,145.830277008,477750.588513,1.10560449684e-11
E050_P35,50,35,502342.124266,400215.556787,26114.8077424,76011.7597368,0,82.5327782059,17.4672217941,24,1,1143.47301939,380.058798684,0,141.199325,0,24,77500000,0.0963422876092,0.0027397260274,7466527.28972,1550000,20456.2391499,4246.57534247,1411.99325,5658.56859247,481885.885116,0,Optimal,79.1666666667,156.453545706,477639.309774,1.2896350654e-11
E050_P40,50,40,503086.61425,400215.556787,26956.797726,75914.2597368,0,82.555183346,17.444816654,24,1,1143.47301939,379.571298684,0,145.711825,0,24,80000000,0.0963422876092,0.0027397260274,7707383.00874,1600000,21116.1178322,4383.56164384,1457.11825,5840.67989384,481970.496417,0,Optimal,79.1666666667,161.453545706,477586.934774,1.40119027492e-11
E050_P45,50,45,503851.425733,400215.556787,27781.2792096,75854.5897368,0,82.5688952917,17.4311047083,24,1,1143.47301939,379.272948684,0,148.473475,0,24,82500000,0.0963422876092,0.0027397260274,7948238.72776,1650000,21775.9965144,4520.54794521,1484.73475,6005.28269521,482075.429219,0,Optimal,79.1666666667,164.513545706,477554.881274,1.40047973218e-11
E050_P50,50,50,504648.290717,400215.556787,28578.1441932,75854.5897368,0,82.5688952917,17.4311047083,24,1,1143.47301939,379.272948684,0,148.473475,0,24,85000000,0.0963422876092,0.0027397260274,8189094.44679,1700000,22435.8751967,4657.53424658,1484.73475,6142.26899658,482212.41552,0,Optimal,79.1666666667,164.513545706,477554.881274,1.39976918945e-11
E060_P05,60,5,516427.951512,409111.5,24242.951512,83073.5,0,80.9100163615,19.0899836385,24,1,1168.89,415.3675,0,49.6375,0,24,74500000,0.0963422876092,0.0027397260274,7177500.42689,1490000,19664.3847312,4082.19178082,496.375,4578.56678082,496763.566781,0,Optimal,91.6666666667,55,492681.375,1.84741111298e-12
E060_P10,60,10,506043.411025,402241,25371.4414956,78430.9695291,0,81.9768527261,18.0231472739,24,1,1149.26,392.154847645,0,82.8,0,24,77000000,0.0963422876092,0.0027397260274,7418356.14591,1540000,20324.2634135,4219.17808219,828,5047.17808219,485719.147611,0,Optimal,87.5,91.7451523545,481499.969529,3.69482222595e-12
E060_P15,60,15,498525.764729,397064.5,26323.3997293,75137.865,0,82.7335959905,17.2664040095,24,1,1134.47,375.689325,0,98.309325,0,24,79500000,0.0963422876092,0.0027397260274,7659211.86493,1590000,20984.1420957,4356.16438356,983.09325,5339.25763356,477541.622634,0,Optimal,79.1666666667,108.93,473185.45825,5.52802248421e-12
E060_P20,60,20,497618.725627,396112.5,27299.3897129,74206.8359141,0,82.9475430376,17.0524569624,24,1,1131.75,371.034179571,0,116.221825,0,24,82000000,0.0963422876092,0.0027397260274,7900067.58396,1640000,21644.020778,4493.15068493,1162.21825,5655.36893493,475974.704849,0,Optimal,79.1666666667,128.777645429,471481.554164,7.36832816983e-12
E060_P25,60,25,498299.524129,396112.5,28196.2546965,73990.7694321,0,82.9971943176,17.0028056824,24,1,1131.75,369.953847161,0,126.221825,0,24,84500000,0.0963422876092,0.0027397260274,8140923.30298,1690000,22303.8994602,4630.1369863,1262.21825,5892.3552363,475995.624668,0,Optimal,79.1666666667,139.857977839,471365.487682,9.21396292597e-12
E060_P30,60,30,498980.32263,396112.5,29093.1196801,73774.7029501,0,83.0468455975,16.9531544025,24,1,1131.75,368.873514751,0,136.221825,0,24,87000000,0.0963422876092,0.0027397260274,8381779.022,1740000,22963.7781425,4767.12328767,1362.21825,6129.34153767,476016.544488,0,Optimal,79.1666666667,150.938310249,471249.4212,1.10560449684e-11
E060_P35,60,35,499661.121132,396112.5,29989.9846638,73558.6364682,0,83.0964968775,16.9035031225,24,1,1131.75,367.793182341,0,146.221825,0,24,89500000,0.0963422876092,0.0027397260274,8622634.74103,1790000,23623.6568247,4904.10958904,1462.21825,6366.32783904,476037.464307,0,Optimal,79.1666666667,162.018642659,471133.354718,1.28927979404e-11
E060_P40,60,40,500341.919634,396112.5,30886.8496474,73342.5699862,0,83.1461481575,16.8538518425,24,1,1131.75,366.712849931,0,156.221825,0,24,92000000,0.0963422876092,0.0027397260274,8863490.46005,1840000,24283.535507,5041.09589041,1562.21825,6603.31414041,476058.384127,0,Optimal,79.1666666667,173.098975069,471017.288236,1.47544199081e-11
