scenario,hour,load,wind_available,solar_available,thermal,wind_used,solar_used,wind_curt,solar_curt,charge,discharge,unserved,energy_start_MWh,energy_MWh,soc,balance_error_MW
E070_P25,0,92,61.32,0,30,57.978174999998565,0,3.3418250000014282,0,0,4.0218250000014253,0,35,30.766499999999986,0.4395214285714284,0
E070_P25,1,87,64.340000000000003,0,30,64.340000000000003,0,0,0,7.3400000000000007,0,0,30.766499999999986,37.739499999999992,0.53913571428571416,2.6645352591003757e-15
E070_P25,2,83,63.359999999999999,0,30,63.359999999999999,0,0,0,10.359999999999998,0,0,37.739499999999992,47.581499999999991,0.67973571428571411,1.7763568394002505e-15
E070_P25,3,81,61.229999999999997,0,30,61.230000000000004,0,0,0,10.230000000000004,0,0,47.581499999999991,57.29999999999999,0.81857142857142839,0
E070_P25,4,82,58,0,30,58,0,0,0,6.0000000000000036,0,0,57.29999999999999,62.999999999999993,0.89999999999999991,-3.5527136788005009e-15
E070_P25,5,89,55.299999999999997,0,30,55.300000000000004,0,0,0,0,3.6999999999999904,0,62.999999999999993,59.105263157896104,0.84436090225565863,0
E070_P25,6,103,55.350000000000001,0,30,55.350000000000001,0,0,0,0,17.650000000000006,0,59.105263157896104,40.526315789481551,0.57894736842116501,0
E070_P25,7,122,54.100000000000001,17.25,30,54.100000000000001,15.229999999981381,0,2.0200000000186193,0,22.670000000018621,0,40.526315789481551,16.663157894733452,0.23804511278190646,0
E070_P25,8,139,50.340000000000003,49.479999999999997,30,50.339999999999996,49.480000000000004,0,0,0,9.1799999999999891,0,16.663157894733452,6.9999999999999991,0.099999999999999992,-2.8421709430404007e-14
E070_P25,9,145,46.689999999999998,86.150000000000006,30,43.199030470894691,86.150000000000006,3.490969529105314,0,14.349030470894704,0,0,6.9999999999999991,20.631578947349972,0.29473684210499962,-1.4210854715202004e-14
E070_P25,10,141,44.890000000000001,119.16,30,16.84,119.16,28.050000000000001,0,25.000000000000004,0,0,20.631578947349972,44.381578947349979,0.63402255639071403,-3.5527136788005009e-15
E070_P25,11,134,43.740000000000002,141.91,30,43.739999999999995,35.260000000000005,0,106.64999999999999,0,25,0,44.381578947349979,18.065789473674975,0.25808270676678535,0
E070_P25,12,128,41.520000000000003,150,30,41.520000000000003,81.47999999999999,0,68.52000000000001,25.000000000000004,0,0,18.065789473674975,41.815789473674982,0.59736842105249977,-3.5527136788005009e-15
E070_P25,13,125,39.090000000000003,141.91,30,39.089999999999996,30.909999999999993,0,111,0,25,0,41.815789473674982,15.499999999999979,0.22142857142857111,-1.4210854715202004e-14
E070_P25,14,127,39.299999999999997,119.16,30,2.8399999999999963,119.16,36.460000000000001,0,25.000000000000004,0,0,15.499999999999979,39.249999999999986,0.5607142857142855,-3.5527136788005009e-15
E070_P25,15,133,42.07,86.150000000000006,30,41.849999999999987,86.150000000000006,0.22000000000001307,0,25.000000000000004,0,0,39.249999999999986,62.999999999999993,0.89999999999999991,-3.5527136788005009e-15
E070_P25,16,143,42.859999999999999,49.479999999999997,50.659999999999989,42.859999999999999,49.480000000000004,0,0,0,0,0,62.999999999999993,62.999999999999993,0.89999999999999991,0
E070_P25,17,154,41.299999999999997,17.25,80.659999999999997,41.299999999999997,17.25,0,0,0,14.79000000000001,0,62.999999999999993,47.43157894737385,0.67759398496248358,0
E070_P25,18,160,42.140000000000001,0,110.66,42.140000000000001,0,0,0,0,7.1999999999999797,0,47.43157894737385,39.852631578955467,0.56932330827079236,0
E070_P25,19,162,43.409999999999997,0,118.58999999999999,43.410000000000004,0,0,0,0,0,0,39.852631578955467,39.852631578955467,0.56932330827079236,0
E070_P25,20,151,46.390000000000001,0,104.60999999999997,46.390000000000001,0,0,0,0,0,0,39.852631578955467,39.852631578955467,0.56932330827079236,-2.8421709430404007e-14
E070_P25,21,132,52.109999999999999,0,79.889999999999986,52.109999999999999,0,0,0,0,0,0,39.852631578955467,39.852631578955467,0.56932330827079236,0
E070_P25,22,112,54.149999999999999,0,53.239999999990708,54.149999999999999,0,0,0,0,4.6100000000093022,0,39.852631578955467,35.000000000000007,0.50000000000000011,1.4210854715202004e-14
E070_P25,23,99,54.939999999999998,0,44.060000000000009,54.939999999999998,0,0,0,0,0,0,35.000000000000007,35,0.5,0
