scenario,energy_capacity_MWh,power_capacity_MW,total_cost_CNY,thermal_cost_CNY,storage_cost_CNY,curtailment_cost_CNY,load_shedding_cost_CNY,renewable_utilization_pct,curtailment_rate_pct,num_steps,time_step_hours,thermal_generation_MWh,curtailment_MWh,load_shedding_MWh,storage_discharge_MWh,initial_inventory_supply_MWh,simulation_hours,storage_capex_CNY,capital_recovery_factor,year_fraction,storage_annualized_investment_CNY_per_year,storage_annual_fixed_om_CNY_per_year,storage_investment_allocated_CNY,storage_fixed_om_CNY,storage_variable_om_CNY,storage_om_cost_CNY,operating_cost_excluding_investment_CNY,initial_inventory_thermal_value_CNY,solver_status,storage_utilization_pct,storage_charge_MWh,operating_objective_CNY,max_constraint_residual,cost_difference_from_best_CNY
E060_P25,60,25,489055.890319,396112.5,18952.6208865,73990.7694321,0,82.9971943176,17.0028056824,24,1,1131.75,369.953847161,0,126.221825,0,24,55500000,0.0963422876092,0.0027397260274,5346996.96231,1110000,14649.3067461,3041.09589041,1262.21825,4303.31414041,474406.583573,0,Optimal,79.1666666667,139.857977839,471365.487682,9.21396292597e-12,2697.24257871
E070_P20,70,20,486410.960844,393057,20951.4758439,72402.485,0,83.362176217,16.637823783,24,1,1123.02,362.012425,0,118.922425,0,24,62000000,0.0963422876092,0.0027397260274,5973221.83177,1240000,16364.9913199,3397.26027397,1189.22425,4586.48452397,470045.969524,0,Optimal,79.1666666667,131.77,466648.70925,7.37543359719e-12,52.3131040067
E070_P30,70,30,486720.700248,392829.5,22156.7078242,71734.4924238,0,83.5156784451,16.4843215549,24,1,1122.37,358.672462119,0,143.821825,0,24,65000000,0.0963422876092,0.0027397260274,6262248.6946,1300000,17156.8457386,3561.64383562,1438.21825,4999.86208562,469563.854509,0,Optimal,79.1666666667,159.359362881,466002.210674,1.10595976821e-11,362.052508181
E080_P25,80,25,486782.047782,391499.5,24160.0627817,71122.485,0,83.6563154919,16.3436845081,24,1,1118.57,355.612425,0,136.972425,0,24,71500000,0.0963422876092,0.0027397260274,6888473.56406,1430000,18872.5303125,3917.80821918,1369.72425,5287.53246918,467909.517469,0,Optimal,83.3333333333,151.77,463991.70925,9.20863385545e-12,423.400041782
