scenario,energy_capacity_MWh,power_capacity_MW,total_cost_CNY,thermal_cost_CNY,storage_cost_CNY,curtailment_cost_CNY,load_shedding_cost_CNY,renewable_utilization_pct,curtailment_rate_pct,num_steps,time_step_hours,thermal_generation_MWh,curtailment_MWh,load_shedding_MWh,storage_discharge_MWh,initial_inventory_supply_MWh,simulation_hours,storage_capex_CNY,capital_recovery_factor,year_fraction,storage_annualized_investment_CNY_per_year,storage_annual_fixed_om_CNY_per_year,storage_investment_allocated_CNY,storage_fixed_om_CNY,storage_variable_om_CNY,storage_om_cost_CNY,operating_cost_excluding_investment_CNY,initial_inventory_thermal_value_CNY
E0_P0,0,0,385980,340844,0,45136,0,89.627913817192436,10.372086182807559,24,1,973.84000000000003,225.68000000000001,0,0,0,24,0,0.09634228760924439,0.0027397260273972603,0,0,0,0,0,0,385980,0
E20_P20,20,20,381871.9908032681,332864,7240.4118558996615,41767.57894736842,0,90.401964540736344,9.5980354592636452,24,1,951.03999999999996,208.83789473684212,0,22.799999999999997,7.5999999999999996,24,22000000,0.09634228760924439,0.0027397260273972603,2119530.3274033763,440000,5806.9324038448667,1205.4794520547946,227.99999999999997,1433.4794520547946,376065.05839942326,2660
E40_P20,40,20,375851.5056458363,324884,12568.347751099416,38399.157894736847,0,91.176015264280252,8.8239847357197316,24,1,928.24000000000001,191.99578947368423,0,45.600000000000001,15.199999999999999,24,38000000,0.09634228760924439,0.0027397260273972603,3661006.9291512868,760000,10030.155970277498,2082.1917808219177,456,2538.1917808219177,365821.3496755588,5320
E60_P20,60,20,369831.02048840444,316904,17896.283646299169,35030.736842105267,0,91.950065987824175,8.0499340121758181,24,1,905.44000000000005,175.15368421052634,0,68.399999999999991,22.799999999999997,24,54000000,0.09634228760924439,0.0027397260273972603,5202483.5308991969,1080000,14253.379536710128,2958.9041095890411,683.99999999999989,3642.9041095890411,355577.64095169428,7979.9999999999991
E80_P20,80,20,363810.53533097269,308924.00000000006,23224.219541498926,31662.315789473683,0,92.724116711368083,7.2758832886319036,24,1,882.6400000000001,158.31157894736842,0,91.200000000000003,30.399999999999999,24,70000000,0.09634228760924439,0.0027397260273972603,6743960.1326471074,1400000,18476.603103142759,3835.6164383561645,912,4747.6164383561645,345333.93222782994,10640
