hour,load,wind,solar,renewable,thermal,storage_charge,storage_discharge,soc,curtailment,load_shedding,renewable_used,soc_start,energy_start_MWh,energy_end_MWh,balance_error_MW
0,92,61.32,0,61.32,10.68,0,20,0.14912280701754382,0,0,61.32,0.5,30,8.9473684210526301,0
1,87,64.340000000000003,0,64.340000000000003,19.859999999999999,0,2.7999999999999985,0.10000000000000001,0,0,64.340000000000003,0.14912280701754382,8.9473684210526301,6,0
2,83,63.359999999999999,0,63.359999999999999,19.640000000000001,0,0,0.10000000000000001,0,0,63.359999999999999,0.10000000000000001,6,6,0
3,81,61.229999999999997,0,61.229999999999997,19.770000000000003,0,0,0.10000000000000001,0,0,61.229999999999997,0.10000000000000001,6,6,0
4,82,58,0,58,24,0,0,0.10000000000000001,0,0,58,0.10000000000000001,6,6,0
5,89,55.299999999999997,0,55.299999999999997,33.700000000000003,0,0,0.10000000000000001,0,0,55.299999999999997,0.10000000000000001,6,6,0
6,103,55.350000000000001,0,55.350000000000001,47.649999999999999,0,0,0.10000000000000001,0,0,55.350000000000001,0.10000000000000001,6,6,0
7,122,54.100000000000001,17.25,71.349999999999994,50.650000000000006,0,0,0.10000000000000001,0,0,71.349999999999994,0.10000000000000001,6,6,0
8,139,50.340000000000003,49.479999999999997,99.819999999999993,39.180000000000007,0,0,0.10000000000000001,0,0,99.819999999999993,0.10000000000000001,6,6,0
9,145,46.689999999999998,86.150000000000006,132.84,12.159999999999997,0,0,0.10000000000000001,0,0,132.84,0.10000000000000001,6,6,0
10,141,44.890000000000001,119.16,164.05000000000001,0,20,0,0.41666666666666669,3.0500000000000114,0,161,0.10000000000000001,6,25,0
11,134,43.740000000000002,141.91,185.65000000000001,0,20,0,0.73333333333333328,31.650000000000006,0,154,0.41666666666666669,25,44,0
12,128,41.520000000000003,150,191.52000000000001,0,10.526315789473685,0,0.90000000000000002,52.993684210526325,0,138.5263157894737,0.73333333333333328,44,54,1.4210854715202004e-14
13,125,39.090000000000003,141.91,181,0,0,0,0.90000000000000002,56,0,125,0.90000000000000002,54,54,0
14,127,39.299999999999997,119.16,158.45999999999998,0,0,0,0.90000000000000002,31.45999999999998,0,127,0.90000000000000002,54,54,0
15,133,42.07,86.150000000000006,128.22,0,0,4.7800000000000011,0.81614035087719294,0,0,128.22,0.90000000000000002,54,48.968421052631577,0
16,143,42.859999999999999,49.479999999999997,92.340000000000003,30.659999999999997,0,20,0.46526315789473677,0,0,92.340000000000003,0.81614035087719294,48.968421052631577,27.915789473684207,0
17,154,41.299999999999997,17.25,58.549999999999997,75.450000000000003,0,20,0.11438596491228062,0,0,58.549999999999997,0.46526315789473677,27.915789473684207,6.8631578947368368,0
18,160,42.140000000000001,0,42.140000000000001,117.04000000000001,0,0.81999999999999496,0.10000000000000001,0,0,42.140000000000001,0.11438596491228062,6.8631578947368368,6,0
19,162,43.409999999999997,0,43.409999999999997,118.59,0,0,0.10000000000000001,0,0,43.409999999999997,0.10000000000000001,6,6,0
20,151,46.390000000000001,0,46.390000000000001,104.61,0,0,0.10000000000000001,0,0,46.390000000000001,0.10000000000000001,6,6,0
21,132,52.109999999999999,0,52.109999999999999,79.890000000000001,0,0,0.10000000000000001,0,0,52.109999999999999,0.10000000000000001,6,6,0
22,112,54.149999999999999,0,54.149999999999999,57.850000000000001,0,0,0.10000000000000001,0,0,54.149999999999999,0.10000000000000001,6,6,0
23,99,54.939999999999998,0,54.939999999999998,44.060000000000002,0,0,0.10000000000000001,0,0,54.939999999999998,0.10000000000000001,6,6,0
