metric,method_change,constraints_total,overall_change,closure_error
operating_cost_CNY,-275.65789474052144,121061.69085872703,120786.03296398651,0.0
renewable_utilization_pct,0.11792178991453284,-9.470836518654494,-9.352914728739961,0.0
curtailment_MWh,-2.5657894736758635,206.07024930749182,203.504459833816,2.842170943040401e-14
thermal_generation_MWh,-1.5916157281026244e-11,227.0435457063679,227.043545706352,2.842170943040401e-14
