mask,minimum_on,ramp_on,terminal_on,renewable_utilization_pct,curtailment_MWh,thermal_generation_MWh,unserved_MWh,charge_MWh,discharge_MWh,operating_cost_CNY
0,False,False,False,91.29393705419477,189.43000000000836,928.2399999999841,0.0,60.000000000000014,69.35000000002428,363463.49999999633
1,True,False,False,81.82310053554028,395.5002493075002,1139.3499999999788,0.0,111.68975069250526,116.00000000002663,479032.5498614929
2,False,True,False,90.75154001826071,201.231691666676,941.3166666666472,0.0,73.07666666666316,81.1516916666919,370518.6885833286
3,True,True,False,81.82310053554028,395.5002493075002,1139.3499999999785,0.0,111.68975069250526,116.00000000002662,479032.5498614928
4,False,False,True,91.29393705419477,189.43000000000836,943.4399999999894,0.0,60.000000000000014,54.15000000001897,368631.49999999814
5,True,False,True,81.82310053554028,395.5002493075002,1154.549999999984,0.0,111.68975069250526,100.80000000002126,484200.5498614947
6,False,True,True,90.75154001826071,201.231691666676,958.1587719298051,0.0,89.91877192982106,81.1516916666919,376413.4254254339
7,True,True,True,81.82310053554028,395.5002493075002,1155.283545706352,0.0,119.21329639886793,107.59000000001598,484525.19085872336
