scenario,total_load_MWh,renewable_available_MWh,renewable_used_MWh,curtailment_MWh,thermal_generation_MWh,load_shedding_MWh,renewable_utilization_pct,curtailment_rate_pct,storage_charge_MWh,storage_discharge_MWh,storage_active_hours,storage_utilization_pct,discharge_turnover_ratio,initial_soc,final_soc,initial_energy_MWh,final_energy_MWh,energy_change_MWh,charge_loss_MWh,discharge_loss_MWh,storage_loss_MWh,energy_capacity_MWh,power_capacity_MW,soc_initial,soc_min,soc_max,eta_charge,eta_discharge,thermal_max_MW,num_steps,time_step_hours
no_storage,2924.0000000000,2175.8400000000,1950.1600000000,225.6800000000,973.8400000000,0.0000000000,89.6279138172,10.3720861828,0.0000000000,0.0000000000,0.0000000000,,,,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,,,,,,120.0000000000,24,1.0000000000
with_storage,2924.0000000000,2175.8400000000,1983.8442105263,191.9957894737,928.2400000000,0.0000000000,91.1760152643,8.8239847357,33.6842105263,45.6000000000,6.0000000000,25.0000000000,1.1400000000,0.5000000000,0.1000000000,20.0000000000,4.0000000000,-16.0000000000,1.6842105263,2.4000000000,4.0842105263,40.0000000000,20.0000000000,0.5000000000,0.1000000000,0.9000000000,0.9500000000,0.9500000000,120.0000000000,24,1.0000000000
