case,operating_cost_CNY,renewable_utilization_pct,curtailment_MWh,thermal_generation_MWh,unserved_MWh,charge_MWh,discharge_MWh,delta_operating_cost_CNY,delta_renewable_utilization_pct,delta_curtailment_MWh,delta_thermal_generation_MWh
rule,363739.15789473685,91.17601526428024,191.99578947368423,928.24,,,,,,,
method,363463.5,91.29393705419515,189.43,928.24,0.0,60.0,69.35,-275.65789473685436,0.11792178991491653,-2.5657894736842195,0.0
minimum,479032.5496939999,81.82310059563201,395.50024847,1139.35,0.0,111.6897516,116.00000000000001,115569.04969399993,-9.470836458563141,206.07024846999997,211.1099999999999
ramp,479032.5496939999,81.82310059563201,395.50024847,1139.35,0.0,111.6897511,116.0,0.0,0.0,0.0,0.0
terminal,484525.19079400005,81.82310059563201,395.50024847,1155.2835460000001,0.0,119.21329730000001,107.58999999999999,5492.641100000124,0.0,0.0,15.933546000000206
