cluster,day,date_UTC,days,weight,distance,effective_days,effective_probability,repeat_days
0,313,2023-11-10,12,0.03287671232876712,0.33597729265614895,11.999999996849999,0.032876712320136982,11.999999996849999
1,99,2023-04-10,10,0.027397260273972601,0.50050012747251127,10.00000000048,0.027397260275287671,10.00000000048
2,85,2023-03-27,40,0.1095890410958904,0.24830145603429302,39.796502594170001,0.10903151395663013,39.796502594170001
3,332,2023-11-29,1,0.0027397260273972603,1.4304896245381992e-17,0.99999999999999989,0.0027397260273972599,0.99999999999999989
4,250,2023-09-08,45,0.12328767123287671,0.21180904423502106,45.000000006370001,0.12328767125032877,45.000000006370001
5,276,2023-10-04,11,0.030136986301369864,0.35438231654668062,5.5000000010000001,0.015068493153424657,5.5000000010000001
6,179,2023-06-29,5,0.013698630136986301,0.69328644469656264,7.4999926969549424,0.020547925197136829,7.4999926969549424
7,295,2023-10-23,33,0.090410958904109592,0.29406910913222728,33.000000001190003,0.090410958907369873,33.000000001190003
8,86,2023-03-28,25,0.068493150684931503,0.21897884047551264,49.999999999999993,0.13698630136986301,49.999999999999993
9,178,2023-06-28,6,0.01643835616438356,0.55703960287098675,10.247695007219999,0.028075876732109588,10.247695007219999
10,12,2023-01-13,5,0.013698630136986301,0.72150706108810869,4.9999999969999998,0.013698630128767122,4.9999999969999998
11,125,2023-05-06,6,0.01643835616438356,0.6167258063984169,12,0.03287671232876712,12
12,90,2023-04-01,12,0.03287671232876712,0.48400068827430404,12.00000000038,0.032876712329808218,12.00000000038
13,300,2023-10-28,29,0.079452054794520555,0.27921317843733612,14.500000000999998,0.039726027399999995,14.500000000999998
14,186,2023-07-06,3,0.00821917808219178,0.81809572789496976,3.000000000395787,0.0082191780832761279,3.000000000395787
15,43,2023-02-13,5,0.013698630136986301,0.4645336659489816,5.000000000248999,0.013698630137668491,5.000000000248999
16,93,2023-04-04,5,0.013698630136986301,0.68429572788378557,5.000000000867999,0.013698630139364381,5.000000000867999
17,274,2023-10-02,41,0.11232876712328767,0.20808879172345637,34.955809694399996,0.09576934162849314,34.955809694399996
18,63,2023-03-05,29,0.079452054794520555,0.28495530896860577,14.500000000999998,0.039726027399999995,14.500000000999998
19,354,2023-12-21,8,0.021917808219178082,0.45083657186529352,7.999999999452271,0.021917808217677456,7.999999999452271
20,122,2023-05-03,3,0.00821917808219178,0.99969927089211286,5.9999999999999991,0.01643835616438356,5.9999999999999991
21,343,2023-12-10,1,0.0027397260273972603,6.7386806549951076e-17,1,0.0027397260273972603,1
22,166,2023-06-16,14,0.038356164383561646,0.45170006223653525,14.000000000829999,0.038356164385835612,14.000000000829999
23,211,2023-07-31,16,0.043835616438356165,0.2389768101328035,16.000000000189999,0.043835616438876707,16.000000000189999
