N,seed,renewable_available_MWh,renewable_used_MWh,curtailment_MWh,total_load_MWh,thermal_generation_MWh,unserved_MWh,total_cost_CNY,renewable_utilization_pct,curtailment_rate_pct,load_input_MWh,load_relative_error,wind_input_MWh,wind_relative_error,solar_input_MWh,solar_relative_error,max_input_relative_error,load_signed_relative_error,wind_signed_relative_error,solar_signed_relative_error,worst_error_pp,cost_error_CNY,unserved_error_MWh,control_max_difference,repeat_max_difference,lower_bound_count,upper_bound_count,max_weight_ratio,effective_sample_size,seconds,control_renewable_available_MWh,control_renewable_used_MWh,control_curtailment_MWh,control_total_load_MWh,control_thermal_generation_MWh,control_unserved_MWh,control_total_cost_CNY,control_renewable_utilization_pct,control_curtailment_rate_pct,control_load_input_MWh,control_load_relative_error,control_wind_input_MWh,control_wind_relative_error,control_solar_input_MWh,control_solar_relative_error,control_max_input_relative_error
12,42,301349.94726343214,234427.36759348653,66922.579669945626,1067333.1010693137,779851.58485280222,55776.945104441824,848775061.81881428,77.792403722757697,22.20759627724231,1067333.1010693137,0.00020550860584284475,98861.568920955484,0.00020550860268260952,202488.37834247664,0.00020550860377897438,0.00020550860584284475,0.00020550860584284475,-0.00020550860268260952,-0.00020550860377897438,1.5615946624290302,40207333.69171226,3892.0426544456132,0,0,2,3,1.9999999998970002,7.4994448077007227,6.1518671000085305,270923.82999999996,216451.38310856296,54472.446891437015,1071792.2000000002,796101.59593434306,61886.193649995948,913058006.03624928,79.893814844033102,20.106185155966909,1071792.2000000002,0.0043841622140020492,76929.449999999997,0.2220066788771938,193994.37999999998,0.042144966177850317,0.2220066788771938
24,42,301411.88969890377,239544.01542340202,61867.874275501796,1067113.7989320643,774506.91763325443,55713.448533792442,845251837.09886146,79.473976843678983,20.526023156321031,1067113.7989320643,1.0007702289565957e-09,98881.889901110815,1.0000737678131734e-09,202529.99979779299,9.9840522969774998e-10,1.0007702289565957e-09,-1.0007702289565957e-09,-1.0000737678131734e-09,-9.9840522969774998e-10,0.11997845849229805,36684108.971759439,3828.546083796231,0,0,3,3,2,13.059116690239486,11.491493099994841,287740.10999999999,227555.44380092536,60184.666199074585,1056733.6000000001,780458.72346383892,51409.790949996175,803965433.47499764,79.08367165110397,20.91632834889602,1056733.6000000001,0.0097273599123167114,84526.670000000013,0.1451754208986093,203213.44000000003,0.0033745124179135506,0.1451754208986093
