day,cluster
0,6
1,6
2,3
3,3
4,6
5,3
6,4
7,4
8,3
9,3
10,3
11,6
12,9
13,11
14,5
15,3
16,4
17,4
18,4
19,4
20,6
21,6
22,0
23,7
24,4
25,6
26,1
27,4
28,4
29,10
30,4
31,0
32,6
33,3
34,3
35,6
36,6
37,6
38,6
39,6
40,6
41,6
42,9
43,5
44,3
45,4
46,6
47,6
48,6
49,10
50,8
51,1
52,6
53,6
54,1
55,3
56,10
57,2
58,3
59,1
60,4
61,3
62,10
63,2
64,10
65,3
66,3
67,4
68,3
69,9
70,7
71,8
72,7
73,8
74,9
75,6
76,6
77,6
78,6
79,6
80,6
81,6
82,1
83,3
84,10
85,4
86,3
87,3
88,10
89,10
90,8
91,8
92,11
93,9
94,10
95,1
96,2
97,2
98,2
99,2
100,8
101,10
102,3
103,1
104,8
105,2
106,7
107,6
108,4
109,2
110,8
111,6
112,6
113,6
114,4
115,2
116,3
117,0
118,2
119,2
120,8
121,9
122,11
123,1
124,8
125,0
126,2
127,2
128,2
129,6
130,3
131,2
132,10
133,10
134,2
135,0
136,3
137,10
138,2
139,4
140,9
141,1
142,4
143,4
144,4
145,6
146,10
147,2
148,2
149,1
150,4
151,2
152,8
153,3
154,10
155,6
156,2
157,4
158,2
159,2
160,2
161,4
162,4
163,4
164,2
165,4
166,1
167,6
168,1
169,3
170,2
171,4
172,3
173,3
174,3
175,3
176,2
177,2
178,7
179,1
180,3
181,4
182,10
183,10
184,4
185,2
186,7
187,5
188,1
189,1
190,7
191,7
192,7
193,7
194,3
195,4
196,3
197,4
198,4
199,4
200,4
201,10
202,3
203,2
204,2
205,6
206,2
207,2
208,10
209,4
210,3
211,4
212,2
213,2
214,2
215,2
216,2
217,10
218,2
219,2
220,2
221,2
222,2
223,2
224,10
225,4
226,2
227,2
228,2
229,2
230,2
231,2
232,6
233,2
234,2
235,2
236,3
237,4
238,9
239,1
240,4
241,4
242,2
243,2
244,10
245,3
246,4
247,10
248,10
249,2
250,2
251,2
252,10
253,3
254,6
255,1
256,4
257,10
258,2
259,10
260,10
261,8
262,6
263,6
264,3
265,6
266,3
267,3
268,6
269,3
270,3
271,3
272,6
273,3
274,6
275,6
276,6
277,1
278,10
279,6
280,3
281,3
282,6
283,10
284,3
285,3
286,4
287,10
288,10
289,10
290,10
291,0
292,10
293,10
294,10
295,10
296,10
297,6
298,4
299,6
300,3
301,3
302,10
303,4
304,10
305,10
306,3
307,6
308,5
309,10
310,10
311,4
312,5
313,6
314,0
315,1
316,6
317,4
318,6
319,7
320,10
321,4
322,4
323,10
324,4
325,6
326,7
327,4
328,3
329,3
330,4
331,4
332,0
333,6
334,3
335,3
336,3
337,3
338,3
339,1
340,8
341,1
342,6
343,9
344,5
345,6
346,6
347,9
348,5
349,1
350,6
351,6
352,3
353,1
354,1
355,3
356,3
357,4
358,4
359,3
360,3
361,6
362,6
363,3
364,1
