day,cluster
0,0
1,0
2,8
3,8
4,0
5,8
6,8
7,8
8,6
9,8
10,8
11,10
12,3
13,5
14,10
15,8
16,8
17,8
18,8
19,8
20,0
21,10
22,4
23,9
24,1
25,10
26,6
27,1
28,1
29,1
30,1
31,4
32,0
33,8
34,8
35,0
36,0
37,0
38,10
39,10
40,0
41,0
42,3
43,5
44,8
45,1
46,0
47,0
48,10
49,1
50,7
51,10
52,0
53,0
54,6
55,6
56,11
57,11
58,8
59,6
60,8
61,8
62,1
63,1
64,1
65,0
66,8
67,1
68,8
69,3
70,2
71,7
72,2
73,7
74,3
75,10
76,0
77,0
78,0
79,0
80,10
81,10
82,0
83,8
84,1
85,8
86,8
87,0
88,1
89,1
90,7
91,3
92,5
93,4
94,1
95,8
96,11
97,11
98,11
99,11
100,7
101,1
102,0
103,6
104,7
105,7
106,2
107,0
108,1
109,11
110,7
111,10
112,10
113,0
114,8
115,11
116,8
117,4
118,11
119,11
120,7
121,3
122,5
123,9
124,7
125,4
126,7
127,11
128,11
129,0
130,8
131,11
132,1
133,7
134,11
135,4
136,0
137,11
138,11
139,8
140,3
141,8
142,1
143,1
144,1
145,0
146,11
147,11
148,11
149,6
150,8
151,11
152,6
153,8
154,1
155,0
156,11
157,8
158,11
159,11
160,11
161,8
162,1
163,1
164,11
165,1
166,6
167,10
168,6
169,8
170,11
171,1
172,0
173,8
174,0
175,8
176,11
177,7
178,2
179,9
180,8
181,8
182,1
183,7
184,8
185,7
186,2
187,2
188,6
189,9
190,2
191,7
192,7
193,9
194,8
195,1
196,8
197,8
198,1
199,8
200,8
201,1
202,8
203,11
204,1
205,0
206,11
207,11
208,1
209,8
210,8
211,8
212,11
213,11
214,11
215,11
216,11
217,1
218,11
219,11
220,11
221,11
222,11
223,11
224,1
225,1
226,11
227,11
228,11
229,11
230,11
231,11
232,0
233,11
234,11
235,11
236,8
237,1
238,3
239,9
240,1
241,8
242,11
243,11
244,1
245,0
246,1
247,11
248,11
249,11
250,11
251,11
252,1
253,8
254,10
255,10
256,8
257,1
258,11
259,1
260,1
261,7
262,10
263,0
264,0
265,0
266,8
267,0
268,0
269,8
270,8
271,8
272,0
273,8
274,0
275,0
276,10
277,6
278,6
279,10
280,8
281,8
282,0
283,1
284,0
285,8
286,1
287,1
288,1
289,1
290,1
291,4
292,1
293,1
294,1
295,1
296,1
297,0
298,8
299,0
300,8
301,8
302,1
303,1
304,1
305,1
306,6
307,0
308,4
309,1
310,1
311,8
312,4
313,10
314,4
315,6
316,0
317,8
318,10
319,9
320,1
321,1
322,1
323,1
324,1
325,0
326,2
327,8
328,8
329,0
330,8
331,8
332,4
333,10
334,8
335,8
336,8
337,8
338,8
339,9
340,6
341,6
342,10
343,3
344,5
345,0
346,0
347,3
348,5
349,10
350,0
351,0
352,6
353,6
354,6
355,8
356,8
357,8
358,8
359,8
360,8
361,0
362,0
363,8
364,6
