cluster,day,date_UTC,days,weight,distance
0,211,2023-07-31,19,0.052054794520547946,0.25584786148636612
1,354,2023-12-21,5,0.013698630136986301,0.43816767931923062
2,109,2023-04-20,13,0.035616438356164383,0.34117119711318683
3,112,2023-04-23,13,0.035616438356164383,0.36893637302017013
4,92,2023-04-03,1,0.0027397260273972603,1.1775693440128312e-16
5,121,2023-05-02,2,0.0054794520547945206,0.51847034148541227
6,190,2023-07-10,5,0.013698630136986301,0.45459911790499541
7,281,2023-10-09,18,0.049315068493150684,0.19270344860676022
8,308,2023-11-05,2,0.0054794520547945206,0.57610829494115068
9,187,2023-07-07,2,0.0054794520547945206,0.56872409391549417
10,50,2023-02-20,9,0.024657534246575342,0.46126337539575091
11,45,2023-02-15,30,0.082191780821917804,0.28317267103698801
12,332,2023-11-29,1,0.0027397260273972603,1.4304896245381992e-17
13,140,2023-05-21,1,0.0027397260273972603,1.5473354173400268e-17
14,352,2023-12-19,12,0.03287671232876712,0.40587785476188659
15,229,2023-08-18,16,0.043835616438356165,0.29215311468795768
16,316,2023-11-13,22,0.060273972602739728,0.20187743939625857
17,13,2023-01-14,1,0.0027397260273972603,1.5174616930117179e-16
18,43,2023-02-13,3,0.00821917808219178,0.4218722805673667
19,31,2023-02-01,2,0.0054794520547945206,0.5466633561891634
20,290,2023-10-18,20,0.054794520547945202,0.30377740431934697
21,47,2023-02-17,12,0.03287671232876712,0.24930619449005095
22,12,2023-01-13,3,0.00821917808219178,0.60863067253923009
23,125,2023-05-06,3,0.00821917808219178,0.44926407849083833
24,94,2023-04-05,6,0.01643835616438356,0.38270949128839515
25,91,2023-04-02,1,0.0027397260273972603,1.1147201318367002e-16
26,355,2023-12-22,30,0.082191780821917804,0.24918508652093213
27,343,2023-12-10,1,0.0027397260273972603,6.7386806549951076e-17
28,75,2023-03-17,8,0.021917808219178082,0.31395136665572898
29,48,2023-02-18,2,0.0054794520547945206,0.40266310670335814
30,70,2023-03-12,1,0.0027397260273972603,1.1107649934270853e-17
31,123,2023-05-04,1,0.0027397260273972603,1.1123893155135927e-16
32,348,2023-12-15,1,0.0027397260273972603,7.4492185175800307e-17
33,177,2023-06-27,4,0.010958904109589041,0.38262001058491429
34,74,2023-03-16,1,0.0027397260273972603,4.3126722361490171e-17
35,73,2023-03-15,2,0.0054794520547945206,0.56215308857997037
36,363,2023-12-30,22,0.060273972602739728,0.28626758529837426
37,179,2023-06-29,4,0.010958904109589041,0.54053875439231913
38,93,2023-04-04,2,0.0054794520547945206,0.5477546462605315
39,222,2023-08-11,20,0.054794520547945202,0.20681339656801725
40,291,2023-10-19,1,0.0027397260273972603,1.657092273689327e-17
41,186,2023-07-06,1,0.0027397260273972603,1.9229626863835638e-16
42,122,2023-05-03,1,0.0027397260273972603,1.2962923576407691e-16
43,164,2023-06-14,21,0.057534246575342465,0.20956728363912647
44,79,2023-03-21,14,0.038356164383561646,0.22774935034294311
45,152,2023-06-02,1,0.0027397260273972603,1.1465672497637489e-16
46,69,2023-03-11,1,0.0027397260273972603,1.5725342463481772e-16
47,189,2023-07-09,4,0.010958904109589041,0.49051582734403176
