day,cluster
0,5
1,5
2,1
3,1
4,5
5,8
6,8
7,8
8,11
9,1
10,8
11,5
12,4
13,0
14,3
15,1
16,8
17,8
18,8
19,8
20,5
21,5
22,9
23,7
24,8
25,5
26,11
27,8
28,8
29,8
30,8
31,9
32,5
33,1
34,1
35,5
36,5
37,1
38,5
39,5
40,5
41,5
42,4
43,3
44,1
45,8
46,5
47,5
48,5
49,2
50,10
51,11
52,5
53,5
54,11
55,11
56,2
57,2
58,1
59,11
60,8
61,1
62,2
63,2
64,2
65,1
66,1
67,2
68,8
69,4
70,7
71,10
72,7
73,10
74,4
75,5
76,5
77,5
78,5
79,5
80,5
81,5
82,1
83,1
84,2
85,8
86,1
87,1
88,2
89,8
90,10
91,4
92,0
93,4
94,2
95,1
96,6
97,6
98,6
99,6
100,10
101,2
102,1
103,11
104,10
105,10
106,7
107,5
108,2
109,6
110,10
111,5
112,5
113,5
114,8
115,6
116,1
117,11
118,6
119,6
120,10
121,4
122,0
123,3
124,10
125,9
126,10
127,6
128,6
129,5
130,1
131,6
132,2
133,10
134,6
135,11
136,1
137,2
138,6
139,8
140,4
141,1
142,8
143,8
144,8
145,5
146,2
147,6
148,6
149,11
150,8
151,6
152,11
153,1
154,2
155,5
156,6
157,8
158,6
159,6
160,6
161,8
162,8
163,8
164,6
165,8
166,11
167,5
168,11
169,1
170,6
171,8
172,1
173,1
174,1
175,1
176,6
177,10
178,7
179,8
180,1
181,8
182,2
183,10
184,8
185,10
186,7
187,3
188,11
189,11
190,7
191,7
192,7
193,7
194,1
195,8
196,1
197,8
198,8
199,8
200,8
201,2
202,1
203,6
204,2
205,5
206,6
207,6
208,2
209,8
210,1
211,8
212,6
213,6
214,6
215,6
216,6
217,2
218,6
219,6
220,6
221,6
222,6
223,6
224,2
225,2
226,6
227,6
228,6
229,2
230,6
231,6
232,5
233,6
234,6
235,6
236,1
237,2
238,4
239,3
240,2
241,8
242,6
243,6
244,2
245,1
246,8
247,2
248,2
249,6
250,6
251,6
252,2
253,8
254,5
255,1
256,8
257,2
258,2
259,2
260,2
261,10
262,5
263,5
264,1
265,5
266,1
267,1
268,5
269,1
270,1
271,1
272,5
273,1
274,5
275,5
276,5
277,11
278,11
279,5
280,8
281,8
282,5
283,8
284,1
285,8
286,8
287,2
288,2
289,2
290,2
291,9
292,2
293,2
294,2
295,2
296,8
297,5
298,8
299,5
300,1
301,8
302,8
303,2
304,2
305,8
306,11
307,5
308,9
309,2
310,2
311,8
312,9
313,5
314,9
315,11
316,5
317,8
318,5
319,7
320,8
321,8
322,8
323,8
324,8
325,5
326,3
327,8
328,1
329,1
330,8
331,8
332,9
333,5
334,8
335,1
336,1
337,1
338,8
339,8
340,11
341,8
342,5
343,4
344,3
345,5
346,5
347,4
348,0
349,5
350,5
351,5
352,1
353,11
354,11
355,8
356,8
357,8
358,8
359,1
360,1
361,5
362,5
363,1
364,11
