cluster,day,date_UTC,days,weight,distance
0,331,2023-11-28,6,0.01643835616438356,0.34806981738981291
1,337,2023-12-04,19,0.052054794520547946,0.24708272191341923
2,127,2023-05-08,7,0.019178082191780823,0.21342040049381109
3,347,2023-12-14,4,0.010958904109589041,0.77694862844978363
4,344,2023-12-11,4,0.010958904109589041,0.47115664128291784
5,326,2023-11-23,3,0.00821917808219178,0.60220906853203582
6,332,2023-11-29,1,0.0027397260273972603,1.4304896245381992e-17
7,167,2023-06-17,3,0.00821917808219178,0.32780817900446324
8,152,2023-06-02,2,0.0054794520547945206,0.50486432583417884
9,31,2023-02-01,3,0.00821917808219178,0.55776318650680257
10,303,2023-10-31,15,0.041095890410958902,0.23895743302939962
11,333,2023-11-30,4,0.010958904109589041,0.31185341207849554
12,13,2023-01-14,1,0.0027397260273972603,1.5174616930117179e-16
13,166,2023-06-16,8,0.021917808219178082,0.36693808848530557
14,106,2023-04-17,4,0.010958904109589041,0.50275648242961513
15,206,2023-07-26,24,0.06575342465753424,0.19515180380354635
16,4,2023-01-05,18,0.049315068493150684,0.19917831013540371
17,254,2023-09-12,5,0.013698630136986301,0.49578705630542613
18,181,2023-07-01,16,0.043835616438356165,0.21016553046423309
19,49,2023-02-19,9,0.024657534246575342,0.47210302992482228
20,42,2023-02-12,2,0.0054794520547945206,0.57420200931379539
21,74,2023-03-16,1,0.0027397260273972603,4.3126722361490171e-17
22,73,2023-03-15,2,0.0054794520547945206,0.50912444696753656
23,255,2023-09-13,6,0.01643835616438356,0.29590911189079655
24,280,2023-10-08,23,0.063013698630136991,0.26691481287967805
25,92,2023-04-03,1,0.0027397260273972603,1.1775693440128312e-16
26,207,2023-07-27,10,0.027397260273972601,0.24800039939483975
27,186,2023-07-06,1,0.0027397260273972603,1.9229626863835638e-16
28,304,2023-11-01,14,0.038356164383561646,0.30965444606752818
29,315,2023-11-12,4,0.010958904109589041,0.41954555026838264
30,125,2023-05-06,3,0.00821917808219178,0.44926407849083833
31,86,2023-03-28,13,0.035616438356164383,0.19844832827233105
32,122,2023-05-03,1,0.0027397260273972603,1.2962923576407691e-16
33,63,2023-03-05,23,0.063013698630136991,0.24594570512142488
34,179,2023-06-29,4,0.010958904109589041,0.54053875439231913
35,93,2023-04-04,4,0.010958904109589041,0.5641761720641878
36,105,2023-04-16,6,0.01643835616438356,0.46506068182311194
37,91,2023-04-02,1,0.0027397260273972603,1.1147201318367002e-16
38,275,2023-10-03,20,0.054794520547945202,0.1688721074511714
39,192,2023-07-12,4,0.010958904109589041,0.60147215958014222
40,357,2023-12-24,19,0.052054794520547946,0.18163315613401165
41,169,2023-06-19,9,0.024657534246575342,0.26813398760441021
42,21,2023-01-22,8,0.021917808219178082,0.25292133689400342
43,308,2023-11-05,2,0.0054794520547945206,0.57610829494115068
44,283,2023-10-11,19,0.052054794520547946,0.25754013037478762
45,364,2023-12-31,3,0.00821917808219178,0.29206698622823579
46,123,2023-05-04,1,0.0027397260273972603,1.1123893155135927e-16
47,124,2023-05-05,5,0.013698630136986301,0.35013220303194043
