hour,load,wind,solar,cluster
0,96.599999999999994,0,3.5299999999999998,3
1,91.349999999999994,0,5.3700000000000001,3
2,87.150000000000006,0,6.1500000000000004,3
3,85.049999999999997,0,9.9499999999999993,3
4,86.099999999999994,0,10.289999999999999,3
5,93.450000000000003,0,9.5800000000000001,3
6,108.15000000000001,0.10000000000000001,9.3800000000000008,3
7,128.09999999999999,3.73,7.0700000000000003,3
8,145.94999999999999,17.390000000000001,3.75,3
9,152.25,31.789999999999999,0,3
10,148.05000000000001,36.729999999999997,0,3
11,140.69999999999999,43.740000000000002,0,3
12,134.40000000000001,50.100000000000001,0,3
13,131.25,63.219999999999999,0,3
14,133.34999999999999,93.299999999999997,0,3
15,139.65000000000001,100,0,3
16,150.15000000000001,91.609999999999999,0,3
17,161.69999999999999,69.430000000000007,0,3
18,168,89.700000000000003,0,3
19,170.09999999999999,99.239999999999995,0,3
20,158.55000000000001,94.030000000000001,0,3
21,138.59999999999999,99.489999999999995,0,3
22,117.59999999999999,97.980000000000004,0,3
23,103.95,80.790000000000006,0.58999999999999997,3
0,96.599999999999994,95.25,7.4199999999999999,4
1,91.349999999999994,88.760000000000005,13.619999999999999,4
2,87.150000000000006,73.709999999999994,9.75,4
3,85.049999999999997,69.430000000000007,15.119999999999999,4
4,86.099999999999994,84.370000000000005,17.440000000000001,4
5,93.450000000000003,84.599999999999994,14.699999999999999,4
6,108.15000000000001,68.829999999999998,8.0500000000000007,4
7,128.09999999999999,60.07,6.2800000000000002,4
8,145.94999999999999,54.079999999999998,3.0699999999999998,4
9,152.25,51.240000000000002,0,4
10,148.05000000000001,51.57,0,4
11,140.69999999999999,46.93,0,4
12,134.40000000000001,38.479999999999997,0,4
13,131.25,32.520000000000003,0,4
14,133.34999999999999,29.190000000000001,0,4
15,139.65000000000001,30.120000000000001,0,4
16,150.15000000000001,30.59,0,4
17,161.69999999999999,26.629999999999999,0,4
18,168,22.140000000000001,0,4
19,170.09999999999999,19.280000000000001,0,4
20,158.55000000000001,18.059999999999999,0,4
21,138.59999999999999,15.550000000000001,0,4
22,117.59999999999999,12.15,0,4
23,103.95,9.5899999999999999,2.6299999999999999,4
0,96.599999999999994,60.619999999999997,32.509999999999998,5
1,91.349999999999994,100,58.130000000000003,5
2,87.150000000000006,100,79.510000000000005,5
3,85.049999999999997,100,92.120000000000005,5
4,86.099999999999994,100,92.099999999999994,5
5,93.450000000000003,100,83.349999999999994,5
6,108.15000000000001,100,65.489999999999995,5
7,128.09999999999999,100,40.93,5
8,145.94999999999999,63.030000000000001,15.83,5
9,152.25,44.039999999999999,0,5
10,148.05000000000001,47.240000000000002,0,5
11,140.69999999999999,47.399999999999999,0,5
12,134.40000000000001,46.310000000000002,0,5
13,131.25,44.640000000000001,0,5
14,133.34999999999999,41.130000000000003,0,5
15,139.65000000000001,39.719999999999999,0,5
16,150.15000000000001,35.159999999999997,0,5
17,161.69999999999999,28.059999999999999,0,5
18,168,21.57,0,5
19,170.09999999999999,17.309999999999999,0,5
20,158.55000000000001,12.970000000000001,0,5
21,138.59999999999999,8.7899999999999991,0,5
22,117.59999999999999,6.3499999999999996,0,5
23,103.95,4.6699999999999999,7.96,5
0,96.599999999999994,0,23.84,6
1,91.349999999999994,3.3900000000000001,49.939999999999998,6
2,87.150000000000006,26.850000000000001,61.009999999999998,6
3,85.049999999999997,45.240000000000002,69.349999999999994,6
4,86.099999999999994,50.590000000000003,69.590000000000003,6
5,93.450000000000003,65.120000000000005,63.299999999999997,6
6,108.15000000000001,94.510000000000005,47.409999999999997,6
7,128.09999999999999,100,26.719999999999999,6
8,145.94999999999999,100,8.8599999999999994,6
9,152.25,100,0,6
10,148.05000000000001,100,0,6
11,140.69999999999999,100,0,6
12,134.40000000000001,95.25,0,6
13,131.25,75.390000000000001,0,6
14,133.34999999999999,56.5,0,6
15,139.65000000000001,45.240000000000002,0,6
16,150.15000000000001,41.560000000000002,0,6
17,161.69999999999999,37.93,0,6
18,168,38.200000000000003,0,6
19,170.09999999999999,37.259999999999998,0,6
20,158.55000000000001,33.380000000000003,0,6
21,138.59999999999999,26.100000000000001,0,6
22,117.59999999999999,21.760000000000002,0,6
23,103.95,17.890000000000001,2.1200000000000001,6
0,96.599999999999994,26.199999999999999,9.5,7
1,91.349999999999994,22.140000000000001,12.24,7
2,87.150000000000006,16.41,11.699999999999999,7
3,85.049999999999997,14.039999999999999,14.41,7
4,86.099999999999994,14.26,17.960000000000001,7
5,93.450000000000003,14.109999999999999,21.289999999999999,7
6,108.15000000000001,13.390000000000001,33.280000000000001,7
7,128.09999999999999,11.24,40.109999999999999,7
8,145.94999999999999,7.3099999999999996,24.09,7
9,152.25,3.3500000000000001,12.94,7
10,148.05000000000001,1.1799999999999999,5.4199999999999999,7
11,140.69999999999999,1.29,0.26000000000000001,7
12,134.40000000000001,3.5899999999999999,0,7
13,131.25,6.21,0,7
14,133.34999999999999,8.0899999999999999,0,7
15,139.65000000000001,9.0700000000000003,0,7
16,150.15000000000001,9.2400000000000002,0,7
17,161.69999999999999,9.5299999999999994,0,7
18,168,11.56,0,7
19,170.09999999999999,10.92,0,7
20,158.55000000000001,8.5700000000000003,0,7
21,138.59999999999999,8.3499999999999996,0.5,7
22,117.59999999999999,8.1400000000000006,7.9699999999999998,7
23,103.95,6.9199999999999999,17.07,7
0,96.599999999999994,0,27.809999999999999,8
1,91.349999999999994,0,50.579999999999998,8
2,87.150000000000006,0.14999999999999999,61.93,8
3,85.049999999999997,2.1800000000000002,49.770000000000003,8
4,86.099999999999994,4.0599999999999996,56.43,8
5,93.450000000000003,4.3600000000000003,61,8
