cluster,day,date_UTC,days,weight,distance
0,342,2023-12-09,20,0.054794520547945202,0.4234257969821868
1,227,2023-08-16,27,0.073972602739726029,0.19740664057248056
2,281,2023-10-09,36,0.098630136986301367,0.24046208997046278
3,92,2023-04-03,2,0.0054794520547945206,0.87151841919720785
4,106,2023-04-17,4,0.010958904109589041,0.50275648242961513
5,104,2023-04-15,3,0.00821917808219178,0.60394323960672547
6,347,2023-12-14,4,0.010958904109589041,0.77694862844978363
7,315,2023-11-12,4,0.010958904109589041,0.41954555026838264
8,133,2023-05-14,18,0.049315068493150684,0.45975673381705179
9,45,2023-02-15,28,0.076712328767123292,0.25234251054380635
10,274,2023-10-02,43,0.11780821917808219,0.20619398805127906
11,13,2023-01-14,2,0.0054794520547945206,0.9555931417187965
12,238,2023-08-27,6,0.01643835616438356,0.50991791278379084
13,166,2023-06-16,15,0.041095890410958902,0.44970355638155923
14,211,2023-07-31,18,0.049315068493150684,0.23980697832184078
15,58,2023-02-28,41,0.11232876712328767,0.2076898758988088
16,43,2023-02-13,6,0.01643835616438356,0.48380657119693332
17,314,2023-11-11,6,0.01643835616438356,0.64310452364552162
18,305,2023-11-02,27,0.073972602739726029,0.32897179408447014
19,179,2023-06-29,8,0.021917808219178082,0.57703568726292831
20,326,2023-11-23,3,0.00821917808219178,0.60220906853203582
21,63,2023-03-05,29,0.079452054794520555,0.24063557052156237
22,186,2023-07-06,3,0.00821917808219178,0.64042120948291181
23,207,2023-07-27,12,0.03287671232876712,0.2683627357079717
