cluster,day,date_UTC,days,weight,distance
0,265,2023-09-23,55,0.15068493150684931,0.1658751006277448
1,244,2023-09-02,65,0.17808219178082191,0.25074869165533836
2,178,2023-06-28,8,0.021917808219178082,0.47422782203019254
3,42,2023-02-12,10,0.027397260273972601,0.83692577598016415
4,125,2023-05-06,11,0.030136986301369864,0.70465720046366453
5,92,2023-04-03,6,0.01643835616438356,1.0426339041368047
6,59,2023-03-01,21,0.057534246575342465,0.41521441457158875
7,124,2023-05-05,18,0.049315068493150684,0.52551841353368656
8,355,2023-12-22,81,0.22191780821917809,0.24643242244268687
9,179,2023-06-29,8,0.021917808219178082,0.55947998372372532
10,313,2023-11-10,24,0.06575342465753424,0.355540527411355
11,250,2023-09-08,58,0.15890410958904111,0.20708461063811368
