cluster,day,date_UTC,days,weight,distance
0,43,2023-02-13,3,0.00821917808219178,0.4218722805673667
1,211,2023-07-31,10,0.027397260273972601,0.25048360884497012
2,1,2023-01-02,12,0.03287671232876712,0.2588688896215397
3,63,2023-03-05,20,0.054794520547945202,0.23592967331389247
4,12,2023-01-13,3,0.00821917808219178,0.64843830941047209
5,31,2023-02-01,4,0.010958904109589041,0.50244401242825054
6,302,2023-10-30,15,0.041095890410958902,0.27844707839491989
7,187,2023-07-07,2,0.0054794520547945206,0.56872409391549417
8,179,2023-06-29,2,0.0054794520547945206,0.42294520035106198
9,7,2023-01-08,20,0.054794520547945202,0.20485350857380996
10,13,2023-01-14,1,0.0027397260273972603,1.5174616930117179e-16
11,183,2023-07-03,5,0.013698630136986301,0.48466979811001221
12,228,2023-08-17,18,0.049315068493150684,0.23657070635422775
13,363,2023-12-30,22,0.060273972602739728,0.24765873326244131
14,106,2023-04-17,4,0.010958904109589041,0.50275648242961513
15,91,2023-04-02,1,0.0027397260273972603,1.1147201318367002e-16
16,238,2023-08-27,4,0.010958904109589041,0.51667725479742188
17,165,2023-06-15,12,0.03287671232876712,0.25171792965760531
18,105,2023-04-16,8,0.021917808219178082,0.46455414781271731
19,86,2023-03-28,18,0.049315068493150684,0.17832271818528245
20,348,2023-12-15,1,0.0027397260273972603,7.4492185175800307e-17
21,152,2023-06-02,2,0.0054794520547945206,0.50486432583417884
22,94,2023-04-05,8,0.021917808219178082,0.45785103370255703
23,104,2023-04-15,3,0.00821917808219178,0.60394323960672547
24,125,2023-05-06,3,0.00821917808219178,0.44926407849083833
25,315,2023-11-12,4,0.010958904109589041,0.41954555026838264
26,92,2023-04-03,2,0.0054794520547945206,0.86883253277026862
27,345,2023-12-12,5,0.013698630136986301,0.3629951167715621
28,196,2023-07-16,12,0.03287671232876712,0.19785845196475407
29,332,2023-11-29,1,0.0027397260273972603,1.4304896245381992e-17
30,259,2023-09-17,16,0.043835616438356165,0.302379447505014
31,188,2023-07-08,5,0.013698630136986301,0.25991118098304272
32,262,2023-09-20,4,0.010958904109589041,0.34350298124616047
33,316,2023-11-13,16,0.043835616438356165,0.21328695486875773
34,352,2023-12-19,10,0.027397260273972601,0.38176837663693419
35,123,2023-05-04,1,0.0027397260273972603,1.1123893155135927e-16
36,186,2023-07-06,1,0.0027397260273972603,1.9229626863835638e-16
37,70,2023-03-12,1,0.0027397260273972603,1.1107649934270853e-17
38,27,2023-01-28,19,0.052054794520547946,0.21852461051712707
39,275,2023-10-03,22,0.060273972602739728,0.17501788875511409
40,112,2023-04-23,4,0.010958904109589041,0.2859749409913393
41,206,2023-07-26,19,0.052054794520547946,0.18770179014106572
42,74,2023-03-16,1,0.0027397260273972603,4.3126722361490171e-17
43,140,2023-05-21,1,0.0027397260273972603,1.5473354173400268e-17
44,289,2023-10-17,13,0.035616438356164383,0.32833567584943146
45,343,2023-12-10,1,0.0027397260273972603,6.7386806549951076e-17
46,333,2023-11-30,4,0.010958904109589041,0.31185341207849554
47,308,2023-11-05,2,0.0054794520547945206,0.57610829494115068
