cluster,day,date_UTC,days,weight,distance
0,211,2023-07-31,18,0.049315068493150684,0.24868320127979171
1,222,2023-08-11,34,0.093150684931506855,0.21049294907192628
2,313,2023-11-10,15,0.041095890410958902,0.34300024826683601
3,347,2023-12-14,5,0.013698630136986301,0.83633432932051754
4,92,2023-04-03,2,0.0054794520547945206,0.85740460839675925
5,186,2023-07-06,3,0.00821917808219178,0.81809572789496976
6,133,2023-05-14,19,0.052054794520547946,0.49099552392586571
7,4,2023-01-05,22,0.060273972602739728,0.29529291750412706
8,35,2023-02-05,32,0.087671232876712329,0.26322952327546417
9,125,2023-05-06,7,0.019178082191780823,0.66394152035324583
10,45,2023-02-15,35,0.095890410958904104,0.26109127264820864
11,106,2023-04-17,4,0.010958904109589041,0.50275648242961513
12,188,2023-07-08,12,0.03287671232876712,0.65113144543641199
13,238,2023-08-27,5,0.013698630136986301,0.54055480758198782
14,363,2023-12-30,33,0.090410958904109592,0.26404801593635679
15,340,2023-12-07,3,0.00821917808219178,0.50806503630058142
16,13,2023-01-14,1,0.0027397260273972603,1.5174616930117179e-16
17,43,2023-02-13,4,0.010958904109589041,0.45980160191652231
18,281,2023-10-09,35,0.095890410958904104,0.21270858179054958
19,326,2023-11-23,3,0.00821917808219178,0.60220906853203582
20,122,2023-05-03,1,0.0027397260273972603,1.2962923576407691e-16
21,295,2023-10-23,35,0.095890410958904104,0.30237694318751973
22,206,2023-07-26,22,0.060273972602739728,0.20373805466175279
23,166,2023-06-16,15,0.041095890410958902,0.43896584848178488
