cluster,day,date_UTC,days,weight,distance
0,92,2023-04-03,4,0.010958904109589041,1.0216642281101949
1,58,2023-02-28,54,0.14794520547945206,0.22387180010143853
2,259,2023-09-17,46,0.12602739726027398,0.25900941113540793
3,187,2023-07-07,7,0.019178082191780823,0.82311873532861557
4,42,2023-02-12,11,0.030136986301369864,0.81013671879534987
5,274,2023-10-02,63,0.17260273972602741,0.22660218176475994
6,250,2023-09-08,50,0.13698630136986301,0.22279206104347632
7,178,2023-06-28,11,0.030136986301369864,0.51031084061539078
8,85,2023-03-27,72,0.19726027397260273,0.20681069514544748
9,125,2023-05-06,8,0.021917808219178082,0.67233488911776695
10,124,2023-05-05,16,0.043835616438356165,0.54208317504961823
11,54,2023-02-24,23,0.063013698630136991,0.46185342071984675
