day,cluster
0,42
1,42
2,31
3,40
4,16
5,24
6,40
7,40
8,45
9,40
10,24
11,7
12,3
13,12
14,4
15,1
16,40
17,44
18,40
19,24
20,38
21,42
22,30
23,39
24,10
25,17
26,0
27,10
28,44
29,44
30,10
31,9
32,38
33,40
34,1
35,38
36,16
37,1
38,38
39,11
40,16
41,38
42,20
43,4
44,24
45,10
46,16
47,38
48,17
49,19
50,47
51,23
52,16
53,38
54,13
55,13
56,28
57,33
58,1
59,13
60,40
61,40
62,28
63,33
64,44
65,31
66,1
67,44
68,24
69,3
70,5
71,36
72,14
73,22
74,21
75,11
76,16
77,38
78,16
79,16
80,7
81,17
82,23
83,31
84,33
85,24
86,31
87,1
88,44
89,44
90,36
91,37
92,25
93,35
94,19
95,31
96,26
97,2
98,15
99,19
100,47
101,28
102,1
103,29
104,22
105,36
106,14
107,38
108,33
109,2
110,39
111,17
112,42
113,38
114,18
115,26
116,24
117,35
118,2
119,15
120,36
121,35
122,32
123,46
124,47
125,30
126,19
127,2
128,15
129,16
130,41
131,15
132,10
133,47
134,15
135,9
136,41
137,15
138,33
139,18
140,3
141,23
142,24
143,18
144,10
145,38
146,28
147,2
148,2
149,13
150,18
151,33
152,8
153,40
154,28
155,38
156,33
157,18
158,15
159,26
160,26
161,24
162,18
163,18
164,15
165,10
166,13
167,7
168,29
169,41
170,15
171,10
172,1
173,31
174,1
175,41
176,15
177,36
178,14
179,34
180,41
181,18
182,28
183,19
184,18
185,36
186,27
187,5
188,34
189,19
190,14
191,39
192,39
193,19
194,41
195,10
196,41
197,18
198,18
199,40
200,18
201,33
202,41
203,15
204,33
205,16
206,15
207,26
208,28
209,18
210,40
211,18
212,15
213,26
214,26
215,15
216,26
217,33
218,15
219,33
220,2
221,15
222,33
223,15
224,44
225,33
226,33
227,15
228,33
229,33
230,15
231,33
232,38
233,15
234,26
235,33
236,41
237,10
238,35
239,34
240,19
241,18
242,15
243,26
244,44
245,31
246,18
247,33
248,15
249,33
250,15
251,15
252,33
253,24
254,17
255,23
256,24
257,44
258,33
259,28
260,28
261,47
262,23
263,38
264,1
265,16
266,31
267,1
268,38
269,31
270,40
271,40
272,38
273,1
274,16
275,38
276,42
277,13
278,0
279,42
280,24
281,24
282,16
283,44
284,31
285,40
286,44
287,44
288,33
289,28
290,28
291,9
292,28
293,44
294,10
295,44
296,44
297,16
298,24
299,38
300,1
301,24
302,44
303,10
304,28
305,44
306,45
307,16
308,43
309,10
310,28
311,24
312,43
313,23
314,30
315,29
316,16
317,24
318,42
319,34
320,0
321,10
322,44
323,0
324,10
325,1
326,5
327,24
328,24
329,31
330,40
331,0
332,6
333,11
334,24
335,31
336,40
337,1
338,24
339,19
340,8
341,0
342,42
343,20
344,4
345,1
346,16
347,3
348,4
349,11
350,38
351,16
352,13
353,13
354,29
355,40
356,24
357,40
358,24
359,31
360,1
361,1
362,38
363,1
364,45
