hour,load,wind,solar,cluster
0,92,4.79,26.579999999999998,0
1,87,4.0999999999999996,44.280000000000001,0
2,83,6.0300000000000002,57.659999999999997,0
3,81,6.6799999999999997,68.040000000000006,0
4,82,6.9199999999999999,71.489999999999995,0
5,89,6.2599999999999998,76.109999999999999,0
6,103,4.3600000000000003,80.019999999999996,0
7,122,1.98,74.239999999999995,0
8,139,0.080000000000000002,56.270000000000003,0
9,145,0,30.379999999999999,0
10,141,0,10.470000000000001,0
11,134,0,0,0
12,128,2.23,0,0
13,125,5.0800000000000001,0,0
14,127,7.1200000000000001,0,0
15,133,7.6200000000000001,0,0
16,143,6.4400000000000004,0,0
17,154,4.5199999999999996,0,0
18,160,2.8900000000000001,0,0
19,162,1.79,0,0
20,151,1.3200000000000001,0,0
21,132,1.4399999999999999,0,0
22,112,1.77,9.0399999999999991,0
23,99,0.93000000000000005,25.120000000000001,0
0,87.400000000000006,13.75,23.32,1
1,82.650000000000006,30.120000000000001,48.829999999999998,1
2,78.849999999999994,34.640000000000001,71.370000000000005,1
3,76.950000000000003,34.640000000000001,86.620000000000005,1
4,77.900000000000006,35.810000000000002,83.599999999999994,1
5,84.549999999999997,38.890000000000001,78.560000000000002,1
6,97.849999999999994,42.859999999999999,63.240000000000002,1
7,115.90000000000001,47.399999999999999,39.030000000000001,1
8,132.05000000000001,47.869999999999997,14.859999999999999,1
9,137.75,40.700000000000003,0.59999999999999998,1
10,133.94999999999999,37.659999999999997,0,1
11,127.3,30.59,0,1
12,121.59999999999999,24.32,0,1
13,118.75,19.010000000000002,0,1
14,120.65000000000001,15.550000000000001,0,1
15,126.34999999999999,13.609999999999999,0,1
16,135.84999999999999,12.56,0,1
17,146.30000000000001,10.859999999999999,0,1
18,152,7.7699999999999996,0,1
19,153.90000000000001,5.3700000000000001,0,1
20,143.44999999999999,3.0499999999999998,0,1
21,125.40000000000001,1.8700000000000001,0,1
22,106.40000000000001,1.6599999999999999,0,1
23,94.049999999999997,1.51,2.8399999999999999,1
0,92,0,63.119999999999997,2
1,87,0,88.730000000000004,2
2,83,0,110.31999999999999,2
3,81,0,117.2,2
4,82,0.87,137.97,2
5,89,1.5600000000000001,128.90000000000001,2
6,103,1.8200000000000001,113.88,2
7,122,1.6399999999999999,88.989999999999995,2
8,139,1.3200000000000001,58.520000000000003,2
9,145,0.76000000000000001,26.859999999999999,2
10,141,1.02,3.7999999999999998,2
11,134,2.4900000000000002,0,2
12,128,4.4400000000000004,0,2
13,125,6.8700000000000001,0,2
14,127,9.4199999999999999,0,2
15,133,11.5,0,2
16,143,13.25,0,2
17,154,11.69,0,2
18,160,8.4100000000000001,0,2
19,162,7.21,0,2
20,151,9.4700000000000006,0,2
21,132,14.630000000000001,0,2
22,112,19.899999999999999,6.7599999999999998,2
23,99,29.079999999999998,26.5,2
0,92,15.31,7.71,3
1,87,6.6799999999999997,10.43,3
2,83,2.8900000000000001,14.49,3
3,81,2.5499999999999998,3.8999999999999999,3
4,82,3.4900000000000002,13.35,3
5,89,5.6299999999999999,8.7799999999999994,3
6,103,7.2599999999999998,9.3800000000000008,3
7,122,8.4600000000000009,7.5599999999999996,3
8,139,10.550000000000001,3.2599999999999998,3
9,145,12.9,1.8400000000000001,3
10,141,15.619999999999999,1.21,3
11,134,21.280000000000001,0,3
12,128,27.84,0,3
13,125,30,0,3
14,127,24.629999999999999,0,3
15,133,19.449999999999999,0,3
16,143,14.710000000000001,0,3
17,154,12.42,0,3
18,160,11.69,0,3
19,162,11.69,0,3
20,151,12.77,0,3
21,132,12.83,0,3
22,112,14.859999999999999,2.1899999999999999,3
23,99,17.640000000000001,6.8700000000000001,3
0,96.599999999999994,47.240000000000002,11.01,4
1,91.349999999999994,53.240000000000002,18.52,4
2,87.150000000000006,72.260000000000005,23.890000000000001,4
3,85.049999999999997,93.049999999999997,14.9,4
4,86.099999999999994,100,41.700000000000003,4
5,93.450000000000003,92.569999999999993,43.560000000000002,4
6,108.15000000000001,81.010000000000005,40.990000000000002,4
7,128.09999999999999,65.689999999999998,28.579999999999998,4
8,145.94999999999999,52.729999999999997,15.69,4
9,152.25,43.299999999999997,7.4199999999999999,4
10,148.05000000000001,85.510000000000005,0.73999999999999999,4
11,140.69999999999999,100,0,4
12,134.40000000000001,100,0,4
13,131.25,100,0,4
14,133.34999999999999,82.120000000000005,0,4
15,139.65000000000001,40.140000000000001,0,4
16,150.15000000000001,35.030000000000001,0,4
17,161.69999999999999,48.030000000000001,0,4
18,168,59.159999999999997,0,4
19,170.09999999999999,69.829999999999998,0,4
20,158.55000000000001,60.25,0,4
21,138.59999999999999,43.600000000000001,0,4
