day,cluster
0,10
1,10
2,15
3,15
4,10
5,2
6,9
7,2
8,13
9,15
10,2
11,10
12,6
13,11
14,16
15,15
16,2
17,2
18,9
19,2
20,10
21,0
22,17
23,19
24,9
25,0
26,18
27,9
28,9
29,18
30,9
31,17
32,10
33,15
34,15
35,10
36,10
37,15
38,0
39,0
40,10
41,10
42,12
43,16
44,13
45,9
46,10
47,10
48,0
49,18
50,8
51,0
52,10
53,10
54,13
55,13
56,1
57,21
58,15
59,13
60,14
61,2
62,18
63,21
64,18
65,15
66,15
67,9
68,2
69,6
70,20
71,8
72,4
73,5
74,12
75,0
76,10
77,10
78,10
79,10
80,0
81,0
82,15
83,15
84,21
85,2
86,2
87,15
88,21
89,18
90,8
91,22
92,3
93,12
94,18
95,15
96,23
97,21
98,1
99,8
100,8
101,18
102,15
103,7
104,5
105,8
106,4
107,10
108,21
109,23
110,5
111,0
112,0
113,10
114,14
115,23
116,2
117,17
118,21
119,1
120,8
121,12
122,11
123,19
124,8
125,17
126,8
127,21
128,1
129,10
130,14
131,1
132,9
133,8
134,8
135,13
136,15
137,1
138,21
139,14
140,6
141,15
142,2
143,14
144,9
145,10
146,8
147,21
148,21
149,13
150,9
151,21
152,13
153,15
154,18
155,10
156,21
157,14
158,1
159,23
160,23
161,2
162,9
163,14
164,1
165,9
166,13
167,10
168,7
169,14
170,1
171,9
172,15
173,15
174,15
175,15
176,1
177,8
178,4
179,19
180,14
181,14
182,18
183,8
184,14
185,8
186,22
187,20
188,19
189,19
190,4
191,8
192,22
193,8
194,14
195,9
196,15
197,14
198,9
199,2
200,14
201,21
202,14
203,1
204,21
205,10
206,1
207,23
208,18
209,14
210,15
211,14
212,1
213,23
214,23
215,1
216,23
217,21
218,1
219,21
220,23
221,1
222,21
223,1
224,18
225,21
226,21
227,1
228,21
229,21
230,1
231,21
232,10
233,1
234,23
235,1
236,14
237,9
238,12
239,19
240,9
241,2
242,1
243,23
244,18
245,15
246,9
247,21
248,1
249,21
250,1
251,1
252,21
253,2
254,0
255,15
256,2
257,1
258,21
259,21
260,18
261,8
262,0
263,10
264,15
265,10
266,2
267,15
268,10
269,15
270,15
271,15
272,10
273,15
274,10
275,10
276,0
277,13
278,18
279,0
280,2
281,2
282,10
283,9
284,15
285,2
286,9
287,1
288,21
289,18
290,18
291,17
292,18
293,18
294,9
295,18
296,18
297,10
298,2
299,10
300,15
301,2
302,18
303,9
304,18
305,18
306,13
307,10
308,16
309,9
310,18
311,2
312,16
313,0
314,17
315,7
316,10
317,2
318,0
319,19
320,18
321,9
322,2
323,18
324,9
325,10
326,20
327,9
328,15
329,15
330,9
331,2
332,3
333,0
334,2
335,2
336,15
337,15
338,2
339,19
340,13
341,2
342,0
343,12
344,16
345,15
346,10
347,6
348,16
349,0
350,10
351,10
352,13
353,13
354,7
355,2
356,2
357,2
358,2
359,2
360,15
361,10
362,10
363,15
364,13
