day,cluster
0,3
1,44
2,7
3,36
4,44
5,7
6,26
7,26
8,14
9,36
10,26
11,21
12,22
13,17
14,18
15,36
16,26
17,7
18,26
19,26
20,44
21,3
22,23
23,47
24,11
25,3
26,1
27,11
28,11
29,20
30,11
31,19
32,44
33,26
34,36
35,21
36,16
37,16
38,3
39,28
40,16
41,16
42,22
43,18
44,14
45,11
46,16
47,21
48,29
49,24
50,10
51,28
52,44
53,44
54,14
55,14
56,2
57,39
58,36
59,14
60,26
61,26
62,20
63,39
64,15
65,21
66,36
67,11
68,7
69,46
70,30
71,10
72,6
73,35
74,34
75,28
76,16
77,16
78,16
79,44
80,3
81,29
82,36
83,7
84,39
85,26
86,7
87,36
88,15
89,20
90,10
91,25
92,4
93,38
94,24
95,21
96,39
97,2
98,43
99,24
100,10
101,20
102,36
103,1
104,10
105,33
106,6
107,16
108,11
109,2
110,10
111,28
112,3
113,3
114,0
115,2
116,7
117,38
118,2
119,43
120,33
121,5
122,42
123,31
124,10
125,23
126,24
127,2
128,43
129,16
130,0
131,2
132,11
133,10
134,2
135,19
136,16
137,15
138,39
139,0
140,13
141,36
142,11
143,0
144,11
145,3
146,24
147,39
148,39
149,14
150,26
151,15
152,45
153,26
154,20
155,21
156,39
157,0
158,2
159,2
160,43
161,7
162,11
163,0
164,43
165,11
166,14
167,44
168,1
169,0
170,15
171,11
172,36
173,21
174,36
175,0
176,43
177,33
178,6
179,37
180,0
181,0
182,20
183,47
184,0
185,2
186,41
187,9
188,37
189,47
190,6
191,33
192,6
193,24
194,0
195,11
196,0
197,0
198,11
199,26
200,0
201,39
202,0
203,43
204,39
205,16
206,43
207,2
208,15
209,0
210,26
211,0
212,43
213,39
214,43
215,43
216,39
217,15
218,43
219,39
220,43
221,43
222,39
223,43
224,20
225,11
226,15
227,43
228,39
229,15
230,43
231,39
232,16
233,43
234,39
235,15
236,0
237,11
238,5
239,37
240,11
241,11
242,43
243,2
244,11
245,21
246,11
247,15
248,15
249,39
250,43
251,43
252,11
253,26
254,3
255,36
256,26
257,15
258,39
259,15
260,20
261,10
262,28
263,44
264,36
265,16
266,7
267,36
268,16
269,7
270,26
271,26
272,21
273,36
274,16
275,44
276,3
277,14
278,20
279,3
280,26
281,7
282,16
283,11
284,21
285,26
286,11
287,15
288,39
289,20
290,20
291,40
292,20
293,15
294,11
295,20
296,20
297,16
298,26
299,44
300,36
301,26
302,20
303,11
304,20
305,20
306,14
307,44
308,8
309,11
310,20
311,7
312,8
313,28
314,23
315,1
316,16
317,7
318,3
319,37
320,20
321,11
322,11
323,20
324,11
325,16
326,9
327,26
328,36
329,21
330,26
331,26
332,12
333,28
334,26
335,7
336,26
337,36
338,7
339,47
340,35
341,7
342,3
343,27
344,18
345,36
346,44
347,22
348,32
349,28
350,16
351,44
352,14
353,14
354,1
355,26
356,7
357,26
358,26
359,7
360,36
361,16
362,21
363,36
364,14
