N,seed,clustering_seconds,worst_error_pp,cost_error_CNY,unserved_error_MWh,renewable_available_MWh,renewable_used_MWh,curtailment_MWh,total_load_MWh,thermal_generation_MWh,unserved_MWh,total_cost_CNY,renewable_utilization_pct,curtailment_rate_pct,load_input_MWh,load_relative_error,wind_input_MWh,wind_relative_error,solar_input_MWh,solar_relative_error,max_input_relative_error
12,42,0.41144469999926514,0.53981645884641694,104490277.90914726,10001.291199999738,270923.82999999996,216451.38310856296,54472.446891437015,1071792.2000000002,796101.59593434306,61886.193649995948,913058006.03624928,79.893814844033102,20.106185155966909,1071792.2000000002,0.0043841622140020492,76929.449999999997,0.2220066788771938,193994.37999999998,0.042144966177850317,0.2220066788771938
24,42,0.1504717999996501,0.27032673408274022,-4602294.6521043777,-475.11150000003545,287740.10999999999,227555.44380092536,60184.666199074585,1056733.6000000001,780458.72346383892,51409.790949996175,803965433.47499764,79.08367165110397,20.91632834889602,1056733.6000000001,0.0097273599123167114,84526.670000000013,0.1451754208986093,203213.44000000003,0.0033745124179135506,0.1451754208986093
48,42,0.16939749999801279,0.013143231602839478,-5643316.4074594975,-693.88017499995476,291300.28000000003,231196.70575770445,60103.574242295545,1063312.6000000001,783746.52423479874,51191.022274996256,802924411.71964252,79.367141616789525,20.632858383210461,1063312.6000000001,0.0035621317988765145,91837.940000000002,0.071235996803863652,199462.34,0.015146694316891342,0.071235996803863652
12,7,0.070621799997752532,0.23554692207905248,30311008.932725549,2679.8463249999768,288736.12,229803.76504584117,58932.354954158815,1072523.2000000002,790797.53773535148,54564.748774996187,838878737.05982757,79.589545307265738,20.410454692734255,1072523.2000000002,0.0050691875599398481,94207.029999999999,0.047277211226444002,194529.09,0.039504814101614591,0.047277211226444002
24,7,0.1011398000009649,1.0071816913741571,59433978.801612258,5716.1831499997934,279990.56,225003.71811897113,54986.841881028886,1069306.7999999998,789473.97195173753,57601.085599996004,868001706.92871428,80.361180076560842,19.638819923439165,1069306.7999999998,0.0020550760378131808,82238.670000000013,0.16831413719944052,197751.88999999998,0.023592109810892287,0.16831413719944052
48,7,0.18965799999932642,0.077018570811574705,37521760.362130404,3648.1913999999888,290273.23999999999,230119.85788133269,60153.382118667279,1065798,782983.28059495392,55533.093849996199,846089488.48923242,79.276979814375139,20.723020185624854,1065798,0.0012330456226880831,88694,0.10303089878237562,201579.24000000002,0.0046944156421269943,0.10303089878237562
12,2026,0.098868400000355905,0.59021654639184362,25189764.724479675,2384.4697000001106,283296.89000000001,226479.47463607762,56817.415363922351,1064043.5999999999,785839.28341482417,54269.372149996321,833757492.85158169,79.944214931578529,20.055785068421454,1064043.5999999999,0.0028771064529389333,82825.610000000001,0.16237836877915662,200471.28000000003,0.010165012590727161,0.16237836877915662
24,2026,0.1059501999989152,0.74023597897142679,60655599.436285853,5932.449700000092,286412.7300000001,229400.08321498346,57012.646785016579,1070184,785650.85861216264,57817.352149996303,869223327.56338787,80.094234364158112,19.90576563584187,1070184,0.0028771064529387151,88518.670000000013,0.10480402427583035,197894.05999999997,0.022890139732385482,0.10480402427583035
48,2026,0.15202380000118865,0.23467513966460274,-5628343.7172683477,-723.156700000196,294128.06000000006,232712.13054718322,61415.929452816767,1064920.8,783874.33511490957,51161.745749996015,802939384.40983367,79.119323245522096,20.880676754477882,1064920.8,0.002055076037813399,95692.910000000003,0.032250394890307982,198435.14999999999,0.020218486150199999,0.032250394890307982
