total_load_MWh,renewable_available_MWh,renewable_used_MWh,curtailment_MWh,thermal_generation_MWh,unserved_MWh,charge_MWh,discharge_MWh,renewable_utilization_pct,curtailment_rate_pct,operating_cost_CNY,scenario,energy_capacity_MWh,power_capacity_MW,num_steps,time_step_hours,load_shedding_MWh,storage_discharge_MWh,initial_inventory_supply_MWh,total_cost_CNY,thermal_cost_CNY,storage_cost_CNY,curtailment_cost_CNY,load_shedding_cost_CNY,simulation_hours,storage_capex_CNY,capital_recovery_factor,year_fraction,storage_annualized_investment_CNY_per_year,storage_annual_fixed_om_CNY_per_year,storage_investment_allocated_CNY,storage_fixed_om_CNY,storage_variable_om_CNY,storage_om_cost_CNY,operating_cost_excluding_investment_CNY,initial_inventory_thermal_value_CNY,storage_utilization_pct,solver_status,max_residual
2924,2175.8400000000001,1780.3397506924998,395.5002493075001,1155.283545706352,0,119.21329639886793,107.59000000001596,81.823100535540277,18.176899464459709,484525.19085872336,main,40,20,24,1,0,107.59000000001596,0,496637.5386098228,404349.24099722318,13188.247751099574,79100.049861500025,0,24,38000000,0.09634228760924439,0.0027397260273972603,3661006.9291512868,760000,10030.155970277498,2082.1917808219177,1075.9000000001597,3158.0917808220775,486607.38263954531,0,75,Optimal,7.3736572403504397e-12
2924,2175.8400000000001,1986.4099999999917,189.43000000000833,928.23999999998398,0,60.000000000000007,69.350000000024281,91.293937054194771,8.7060629458052201,363463.49999999633,method,40,20,24,1,0,69.350000000024281,15.199999999999996,375575.84775109577,324883.99999999441,12805.847751099658,37886.000000001666,0,24,38000000,0.09634228760924439,0.0027397260273972603,3661006.9291512868,760000,10030.155970277498,2082.1917808219177,693.50000000024284,2775.6917808221606,365545.69178081828,5319.9999999999982,37.5,Optimal,7.3709927050913393e-12
2924,2175.8400000000001,1780.3397506924998,395.5002493075001,1139.3499999999788,0,111.68975069250526,116.00000000002662,81.823100535540277,18.176899464459709,479032.54986149288,minimum,40,20,24,1,0,116.00000000002662,15.199999999999996,491144.89761259226,398772.49999999255,13272.347751099682,79100.049861500025,0,24,38000000,0.09634228760924439,0.0027397260273972603,3661006.9291512868,760000,10030.155970277498,2082.1917808219177,1160.0000000002663,3242.1917808221842,481114.74164231477,5319.9999999999982,70.833333333333343,Optimal,7.3718808835110394e-12
2924,2175.8400000000001,1780.3397506924998,395.50024930750016,1139.3499999999788,0,111.68975069250526,116.00000000002662,81.823100535540277,18.176899464459709,479032.54986149288,ramp,40,20,24,1,0,116.00000000002662,15.199999999999996,491144.89761259226,398772.49999999255,13272.347751099682,79100.049861500025,0,24,38000000,0.09634228760924439,0.0027397260273972603,3661006.9291512868,760000,10030.155970277498,2082.1917808219177,1160.0000000002663,3242.1917808221842,481114.74164231477,5319.9999999999982,75,Optimal,7.3736572403504397e-12
2924,2175.8400000000001,1779.2608730263178,396.57912697368221,1157.6740867279909,0,132.66625389031086,119.73129413600198,81.7735161145267,18.226483885473296,485699.06869089324,half_hour,40,20,48,0.5,0,119.73129413600198,0,497811.41644199268,405185.93035479682,13309.660692459434,79315.825394736443,0,24,38000000,0.09634228760924439,0.0027397260273972603,3661006.9291512868,760000,10030.155970277498,2082.1917808219177,1197.3129413600197,3279.5047221819377,487781.26047171518,0,79.166666666666657,Optimal,3.1796787425264483e-13
2924,2175.8400000000001,1702.9300000000001,472.91000000000003,1221.0699999999999,0,0,0,78.265405544525322,21.734594455474667,521956.5,zero_storage,0,0,24,1,0,0,0,521956.5,427374.5,0,94582,0,24,0,0.09634228760924439,0.0027397260273972603,0,0,0,0,0,0,521956.5,0,,Optimal,1.4210854715202004e-14
2924,0,0,0,2661.6842105263158,265.59999999998934,33.684210526315788,30.400000000010643,,,3587893.4736841042,zero_renewable,40,20,24,1,265.59999999998934,30.400000000010643,0,3600005.8214352033,931589.47368421056,12416.347751099522,0,2655999.9999998934,24,38000000,0.09634228760924439,0.0027397260273972603,3661006.9291512868,760000,10030.155970277498,2082.1917808219177,304.00000000010641,2386.1917808220242,3589975.6654649256,0,25,Optimal,7.0041750177551876e-12
