cluster,day,date_UTC,days,weight,distance,effective_days,effective_probability,repeat_days
0,31,2023-02-01,8,0.021917808219178082,0.63609448750264297,12.055847049860001,0.033029717944821922,12.055847049860001
1,188,2023-07-08,25,0.068493150684931503,0.52488526013215486,12.500000000999998,0.034246575345205477,12.500000000999998
2,250,2023-09-08,59,0.16164383561643836,0.24078680540946029,77.999257076110013,0.21369659472906852,77.999257076110013
3,34,2023-02-04,64,0.17534246575342466,0.27450386093453899,32.444888424210006,0.08889010527180824,32.444888424210006
4,85,2023-03-27,55,0.15068493150684931,0.24275232497886523,54.999999994550002,0.15068493149191781,54.999999994550002
5,43,2023-02-13,7,0.019178082191780823,0.47487916766010174,13.999999995447507,0.03835616437108906,13.999999995447507
6,274,2023-10-02,63,0.17260273972602741,0.21783550382023539,63.000000002760018,0.17260273973358908,63.000000002760018
7,178,2023-06-28,12,0.03287671232876712,0.45998155918652506,23.999999999999996,0.06575342465753424,23.999999999999996
8,50,2023-02-20,13,0.035616438356164383,0.54991377645814765,6.500000001000001,0.01780821918082192,6.500000001000001
9,42,2023-02-12,10,0.027397260273972601,0.74325128751990732,20,0.054794520547945202,20
10,295,2023-10-23,46,0.12602739726027398,0.27509425474441251,46.000000155509554,0.12602739768632754,46.000000155509554
11,122,2023-05-03,3,0.00821917808219178,0.99969927089211286,1.5000072995530001,0.0041096090398712332,1.5000072995530001
