seed,N,inertia,silhouette,renewable_available_MWh,renewable_used_MWh,curtailment_MWh,total_load_MWh,thermal_generation_MWh,unserved_MWh,total_cost_CNY,renewable_utilization_pct,curtailment_rate_pct,renewable_utilization_pct_error_pp,curtailment_rate_pct_error_pp,worst_error_pp
42,8,459.78151816240546,0.17499469777727567,301411.89000000001,259418.39490541548,41993.495094584039,1067113.8,773644.96431579767,37205.605124980269,655943549.66454995,86.067737707830787,13.932262292169044,6.713739322644102,6.7137393226442352,6.7137393226442352
42,10,422.37471276372361,0.17237971232696742,301411.89000000001,259156.91988569114,42254.970114309421,1067113.8,772940.64213100937,38116.471899992226,664852915.06802702,85.980987639768003,14.01901236023218,6.6269892545813178,6.6269892545810993,6.6269892545813178
42,12,391.2268487068032,0.1695895933845252,301411.89000000001,258577.15606690451,42834.733933094438,1067113.7999999998,773373.38509844069,38312.605125004447,667086206.1632992,85.788638287263481,14.211361712736164,6.4346399020767961,6.4346399020771159,6.4346399020771159
7,8,460.9305313836976,0.17358477105944281,301411.89000000001,259571.07494547334,41840.815054528815,1067113.8,772715.82680346642,37984.282374991853,663374793.49907255,86.118392657128865,13.881607342871847,6.7643942719421801,6.7643942719414323,6.7643942719421801
7,10,423.80521488589153,0.16551040841180334,301411.89000000001,259566.72690135709,41845.163098645819,1067113.8,772676.11655901733,38001.833274991863,663534819.88970518,86.11695009820518,13.883049901795784,6.7629517130184951,6.762951713017495,6.7629517130184951
7,12,394.86883999881957,0.16472314882420974,301411.88999999996,259091.827416482,42320.062583518622,1067113.8,773200.37310249358,37963.205400002596,663428003.96425378,85.959391786595432,14.040608213404797,6.6053934014087474,6.6053934014084827,6.6053934014087474
