hour,load,wind_available,solar_available,thermal,wind_used,solar_used,wind_curt,solar_curt,charge,discharge,unserved,energy_start_MWh,energy_MWh,soc,balance_error_MW
0,96.599999999999994,0,57.759999999999998,30,0,51.399999999994662,0,6.3600000000053356,0,15.200000000005319,0,19.999999999999996,4,0.10000000000000001,-1.4210854715202004e-14
1,91.349999999999994,0,86.569999999999993,30,0,81.34999999999998,0,5.2200000000000131,20,0,0,4,23,0.57499999999999996,-1.4210854715202004e-14
2,87.150000000000006,0,106.70999999999999,30,0,65.815540166189521,0,40.894459833810473,8.6655401661895191,0,0,23,31.232263157880045,0.78080657894700112,-3.5527136788005009e-15
3,85.049999999999997,0,119.06999999999999,30,0,35.050000000000011,0,84.019999999999996,0,20,0,31.232263157880045,10.179631578940043,0.25449078947350107,1.4210854715202004e-14
4,86.099999999999994,0,120.34,30,0,76.099999999999994,0,44.240000000000009,20,0,0,10.179631578940043,29.179631578940043,0.7294907894735011,0
5,93.450000000000003,1.0900000000000001,108.98,30,1.0900000000000001,42.359999999999999,0,66.620000000000005,0,20,0,29.179631578940043,8.1270000000000415,0.20317500000000105,0
6,108.15000000000001,1.3400000000000001,90.719999999999999,35.07999999999997,1.3399999999999999,90.719999999999999,0,0,18.989999999999991,0,0,8.1270000000000415,26.167500000000032,0.65418750000000081,-2.4868995751603507e-14
7,128.09999999999999,0.87,72.5,65.07999999999997,0.87,72.5,0,0,10.349999999999969,0,0,26.167500000000032,36,0.90000000000000002,2.4868995751603507e-14
8,145.94999999999999,0,50.869999999999997,95.07999999999997,0,50.869999999999997,0,0,0,0,0,36,36,0.90000000000000002,-2.8421709430404007e-14
9,152.25,0,29.510000000000002,120,0,29.510000000000002,0,0,0,2.7399999999999931,0,36,33.115789473685226,0.82789473684213066,-2.8421709430404007e-14
10,148.05000000000001,0,10.880000000000001,120,0,10.880000000000001,0,0,0,17.16999999999998,0,33.115789473685226,15.04210526316526,0.37605263157913149,-2.8421709430404007e-14
11,140.69999999999999,0,0.62,120,0,0.62000000000000011,0,0,0,0,20.079999999999991,15.04210526316526,15.04210526316526,0.37605263157913149,0
12,134.40000000000001,0,0,120,0,0,0,0,0,0,14.399999999999975,15.04210526316526,15.04210526316526,0.37605263157913149,-2.8421709430404007e-14
13,131.25,0,0,120,0,0,0,0,0,0,11.250000000000002,15.04210526316526,15.04210526316526,0.37605263157913149,0
14,133.34999999999999,0,0,120,0,0,0,0,0,0,13.349999999999991,15.04210526316526,15.04210526316526,0.37605263157913149,0
15,139.65000000000001,0,0,120,0,0,0,0,0,0,19.649999999999999,15.04210526316526,15.04210526316526,0.37605263157913149,0
16,150.15000000000001,0,0,120,0,0,0,0,0,0,30.150000000000009,15.04210526316526,15.04210526316526,0.37605263157913149,0
17,161.69999999999999,0,0,120,0,0,0,0,0,0,41.699999999999982,15.04210526316526,15.04210526316526,0.37605263157913149,0
18,168,0,0,120,0,0,0,0,0,0,47.999999999999993,15.04210526316526,15.04210526316526,0.37605263157913149,0
19,170.09999999999999,0,0,120,0,0,0,0,0,0,50.100000000000001,15.04210526316526,15.04210526316526,0.37605263157913149,0
20,158.55000000000001,0,0,120,0,0,0,0,0,10.490000000010669,28.059999999989341,15.04210526316526,4,0.10000000000000001,0
21,138.59999999999999,0,1.3300000000000001,120,0,1.3300000000000001,0,0,0,0,17.270000000000007,4,4,0.10000000000000001,0
22,117.59999999999999,0,14.15,103.44999999999999,0,14.15,0,0,0,0,0,4,4,0.10000000000000001,0
23,103.95,0,37.549999999999997,83.24210526315791,0,37.549999999999997,0,0,16.842105263157894,0,0,4,19.999999999999996,0.49999999999999989,1.0658141036401503e-14
