hour,load,wind_available,solar_available,thermal,wind_used,solar_used,wind_curt,solar_curt,charge,discharge,unserved,energy_start_MWh,energy_MWh,soc,balance_error_MW
0,92,81.010000000000005,38.729999999999997,30,32.909889196652607,38.730000000000004,48.100110803347398,0,9.639889196652625,0,0,19.999999999999996,29.157894736819994,0.7289473684204999,-2.1316282072803006e-14
1,87,98.230000000000004,58.270000000000003,30,0,37.000000000000007,98.230000000000004,21.269999999999989,0,20,0,29.157894736819994,8.1052631578799925,0.20263157894699982,0
2,83,97.230000000000004,71.079999999999998,30,1.9200000000000157,71.079999999999998,95.309999999999988,0,20.000000000000004,0,0,8.1052631578799925,27.105263157879996,0.67763157894699988,1.0658141036401503e-14
3,81,99.239999999999995,65.810000000000002,30,0,31,99.239999999999995,34.810000000000002,0,20,0,27.105263157879996,6.0526315789399998,0.1513157894735,0
4,82,98.739999999999995,66.480000000000004,30,5.52000000000002,66.47999999999999,93.219999999999985,0,20,0,0,6.0526315789399998,25.052631578940002,0.62631578947350008,1.4210854715202004e-14
5,89,92.090000000000003,35.420000000000002,30,3.5800000000000054,35.420000000000002,88.509999999999991,0,0,20,0,25.052631578940002,4,0.10000000000000001,0
6,103,80.129999999999995,51.579999999999998,30,80.129999999999995,11.464210526315808,0,40.115789473684195,18.594210526315798,0,0,4,21.664500000000011,0.54161250000000027,7.1054273576010019e-15
7,122,70.230000000000004,36.859999999999999,30,70.22999999999999,36.859999999999999,0,0,15.089999999999987,0,0,21.664500000000011,36,0.90000000000000002,-1.2434497875801753e-14
8,139,59.520000000000003,29.5,49.97999999999999,59.519999999999996,29.5,0,0,0,0,0,36,36,0.90000000000000002,0
9,145,41.270000000000003,15.359999999999999,79.97999999999999,41.269999999999996,15.359999999999999,0,0,0,8.3900000000000254,0,36,27.168421052634645,0.67921052631586609,0
10,141,27.84,6.6399999999999997,106.52,27.839999999999996,6.6399999999999997,0,0,0,0,0,27.168421052634645,27.168421052634645,0.67921052631586609,0
11,134,23.510000000000002,0.39000000000000001,110.09999999999998,23.509999999999998,0.39000000000000001,0,0,0,0,0,27.168421052634645,27.168421052634645,0.67921052631586609,-2.8421709430404007e-14
12,128,18.66,0,109.33999999999999,18.66,0,0,0,0,0,0,27.168421052634645,27.168421052634645,0.67921052631586609,-1.4210854715202004e-14
13,125,16.170000000000002,0,109.44639889196351,16.170000000000002,0,0,0,0.61639889196352993,0,0,27.168421052634645,27.753999999999998,0.69384999999999997,-1.6875389974302379e-14
14,127,14.710000000000001,0,120,14.710000000000001,0,0,0,7.7099999999999946,0,0,27.753999999999998,35.078499999999991,0.87696249999999976,1.3322676295501878e-14
15,133,13.970000000000001,0,120,13.970000000000001,0,0,0,0.97000000000000997,0,0,35.078499999999991,36,0.90000000000000002,-1.1102230246251565e-14
16,143,13.32,0,120,13.32,0,0,0,0,9.6800000000000068,0,36,25.810526315793034,0.6452631578948258,0
17,154,13.609999999999999,0,120,13.609999999999999,0,0,0,0,0.72000000001063325,19.669999999989354,25.810526315793034,25.052631578940002,0.62631578947350008,0
18,160,14.41,0,120,14.41,0,0,0,0,20,5.5900000000000158,25.052631578940002,4,0.10000000000000001,0
19,162,17.059999999999999,0,120,17.059999999999999,0,0,0,0,0,24.940000000000001,4,4,0.10000000000000001,0
20,151,20.079999999999998,0,120,20.079999999999998,0,0,0,0,0,10.920000000000016,4,4,0.10000000000000001,0
21,132,23.809999999999999,0.5,117.07210526315788,23.810000000000002,0.5,0,0,9.3821052631579143,0,0,4,12.913000000000018,0.32282500000000047,-3.1974423109204508e-14
22,112,25.25,6.5800000000000001,87.629999999999995,25.25,6.5800000000000001,0,0,7.4599999999999786,0,0,12.913000000000018,20,0.5,1.5099033134902129e-14
23,99,25.039999999999999,16.329999999999998,57.629999999999995,25.039999999999999,16.329999999999998,0,0,0,0,0,20,19.999999999999996,0.49999999999999989,0
