day,cluster
0,8
1,6
2,4
3,5
4,8
5,3
6,1
7,8
8,2
9,4
10,8
11,3
12,1
13,0
14,7
15,8
16,9
17,5
18,4
19,4
20,3
21,2
22,6
23,0
24,5
25,8
26,7
27,4
28,3
29,1
30,9
31,2
32,7
33,4
34,3
35,5
36,1
37,4
38,6
39,9
40,5
41,8
42,1
43,7
44,8
45,4
46,5
47,9
48,4
49,7
50,1
51,7
52,5
53,1
54,6
55,6
56,1
57,8
58,9
59,6
60,1
61,1
62,1
63,1
64,1
65,3
66,8
67,1
68,2
69,1
70,7
71,1
72,7
73,6
74,1
75,7
76,5
77,5
78,5
79,4
80,0
81,4
82,7
83,5
84,8
85,1
86,9
87,5
88,4
89,8
90,1
91,0
92,0
93,6
94,7
95,9
96,4
97,1
98,4
99,7
100,8
101,6
102,4
103,9
104,6
105,1
106,7
107,4
108,3
109,4
110,1
111,0
112,6
113,6
114,0
115,1
116,7
117,6
118,0
119,1
120,6
121,1
122,0
123,3
124,0
125,6
126,0
127,0
128,5
129,5
130,4
131,1
132,0
133,6
134,0
135,2
136,4
137,4
138,8
139,0
140,1
141,3
142,4
143,3
144,1
145,6
146,0
147,3
148,8
149,6
150,8
151,9
152,8
153,8
154,1
155,7
156,2
157,3
158,8
159,8
160,7
161,1
162,5
163,5
164,8
165,6
166,6
167,3
168,9
169,9
170,9
171,3
172,9
173,7
174,6
175,0
176,4
177,0
178,7
179,3
180,9
181,4
182,6
183,0
184,6
185,4
186,0
187,7
188,7
189,0
190,7
191,0
192,0
193,7
194,6
195,4
196,7
197,6
198,5
199,5
200,1
201,7
202,8
203,1
204,1
205,8
206,8
207,0
208,2
209,1
210,1
211,3
212,8
213,5
214,5
215,2
216,5
217,8
218,8
219,8
220,8
221,6
222,8
223,4
224,8
225,5
226,5
227,4
228,2
229,2
230,2
231,1
232,3
233,9
234,8
235,4
236,8
237,6
238,1
239,7
240,0
241,7
242,3
243,1
244,7
245,9
246,4
247,6
248,0
249,7
250,8
251,8
252,2
253,8
254,1
255,7
256,2
257,8
258,8
259,8
260,1
261,4
262,2
263,7
264,4
265,1
266,1
267,8
268,2
269,8
270,8
271,2
272,6
273,7
274,6
275,2
276,6
277,0
278,6
279,6
280,8
281,6
282,3
283,1
284,8
285,6
286,9
287,3
288,4
289,8
290,8
291,2
292,7
293,5
294,8
295,8
296,8
297,4
298,8
299,8
300,5
301,5
302,1
303,1
304,1
305,3
306,2
307,4
308,9
309,4
310,2
311,8
312,9
313,7
314,6
315,7
316,5
317,4
318,4
319,7
320,3
321,1
322,3
323,8
324,8
325,4
326,7
327,1
328,8
329,1
330,3
331,2
332,6
333,9
334,6
335,1
336,5
337,3
338,4
339,3
340,6
341,3
342,6
343,4
344,7
345,4
346,5
347,1
348,7
349,9
350,1
351,6
352,6
353,6
354,7
355,2
356,4
357,2
358,8
359,4
360,2
361,2
362,2
363,4
364,2
