hour,load,wind_available,solar_available,thermal,wind_used,solar_used,wind_curt,solar_curt,charge,discharge,unserved,energy_start_MWh,energy_MWh,soc,balance_error_MW
0,96.599999999999994,6.2999999999999998,62.289999999999999,30,6.2999999999999998,45.099999999994679,0,17.19000000000532,0,15.200000000005319,0,19.999999999999996,4,0.10000000000000001,0
1,91.349999999999994,19.010000000000002,86.980000000000004,30,19.010000000000002,62.339999999999982,0,24.640000000000022,20,0,0,4,23,0.57499999999999996,-1.4210854715202004e-14
2,87.150000000000006,18.399999999999999,107.67,30,18.399999999999999,20.699999999993683,0,86.970000000006323,0,18.050000000006321,0,23,4,0.10000000000000001,0
3,85.049999999999997,16.41,116.72,30,16.41,58.640000000000022,0,58.079999999999977,20.000000000000004,0,0,4,23.000000000000004,0.57500000000000007,2.4868995751603507e-14
4,86.099999999999994,15.859999999999999,132.02000000000001,30,15.859999999999999,22.18999999999367,0,109.83000000000634,0,18.050000000006321,0,23.000000000000004,4,0.10000000000000001,0
5,93.450000000000003,15.470000000000001,131.99000000000001,30,15.470000000000002,67.979999999999976,0,64.010000000000034,20,0,0,4,23,0.57499999999999996,-2.8421709430404007e-14
6,108.15000000000001,15.699999999999999,108.05,30,15.699999999999999,54.322274999997141,0,53.727725000002856,0,8.1277250000028491,0,23,14.444499999999998,0.36111249999999995,-1.4210854715202004e-14
7,128.09999999999999,15.859999999999999,80.310000000000002,49.289999999999992,15.859999999999999,80.310000000000002,0,0,17.359999999999996,0,0,14.444499999999998,30.936499999999995,0.77341249999999984,-1.0658141036401503e-14
8,145.94999999999999,16.09,55.899999999999999,79.289999999999992,16.09,55.899999999999999,0,0,5.3300000000000063,0,0,30.936499999999995,36,0.90000000000000002,-2.2204460492503131e-14
9,152.25,15.08,27.879999999999999,109.28999999999999,15.08,27.880000000000003,0,0,0,0,0,36,36,0.90000000000000002,0
10,148.05000000000001,15.31,6.5800000000000001,120,15.310000000000002,6.5800000000000001,0,0,0,6.1599999999999868,0,36,29.515789473686496,0.73789473684216245,-2.8421709430404007e-14
11,140.69999999999999,15.859999999999999,0,120,15.859999999999999,0,0,0,0,4.8399999999999821,0,29.515789473686496,24.421052631583034,0.61052631578957584,0
12,134.40000000000001,14.779999999999999,0,120,14.779999999999999,0,0,0,0.38000000000002926,0,0,24.421052631583034,24.782052631583063,0.61955131578957656,-3.3806291099836017e-14
13,131.25,13.109999999999999,0,120,13.109999999999999,0,0,0,1.8600000000000039,0,0,24.782052631583063,26.549052631583066,0.66372631578957664,9.7699626167013776e-15
14,133.34999999999999,12.15,0,120,12.15,0,0,0,0,1.1999999999999911,0,26.549052631583066,25.285894736846675,0.63214736842116692,0
15,139.65000000000001,12.83,0,120,12.829999999999998,0,0,0,0,6.8200000000000003,0,25.285894736846675,18.106947368428134,0.45267368421070336,-2.8421709430404007e-14
16,150.15000000000001,14.56,0,120,14.559999999999999,0,0,0,0,13.40160000001142,2.1883999999885839,18.106947368428134,4,0.10000000000000001,0
17,161.69999999999999,16.57,0,120,16.57,0,0,0,0,0,25.129999999999985,4,4,0.10000000000000001,0
18,168,18.84,0,120,18.84,0,0,0,0,0,29.159999999999989,4,4,0.10000000000000001,0
19,170.09999999999999,20.82,0,120,20.82,0,0,0,0,0,29.280000000000005,4,4,0.10000000000000001,0
20,158.55000000000001,21.66,0,120,21.66,0,0,0,0,0,16.889999999999997,4,4,0.10000000000000001,-2.8421709430404007e-14
21,138.59999999999999,19.719999999999999,0.56000000000000005,118.32000000000001,19.719999999999999,0.55999999999999994,0,0,0,0,0,4,4,0.10000000000000001,0
22,117.59999999999999,15.699999999999999,6.5599999999999996,95.339999999999989,15.699999999999999,6.5599999999999996,0,0,0,0,0,4,4,0.10000000000000001,0
23,103.95,8.6300000000000008,17.32,94.842105263157904,8.6300000000000008,17.32,0,0,16.842105263157894,0,0,4,19.999999999999996,0.49999999999999989,1.0658141036401503e-14
