day,cluster
0,1
1,4
2,3
3,0
4,1
5,8
6,1
7,1
8,9
9,3
10,1
11,5
12,6
13,2
14,10
15,1
16,5
17,11
18,3
19,3
20,0
21,4
22,4
23,2
24,0
25,1
26,4
27,3
28,8
29,6
30,5
31,9
32,10
33,3
34,8
35,11
36,6
37,3
38,4
39,5
40,0
41,1
42,6
43,10
44,1
45,3
46,0
47,5
48,3
49,10
50,7
51,2
52,0
53,6
54,4
55,9
56,6
57,1
58,5
59,4
60,6
61,6
62,6
63,1
64,6
65,8
66,1
67,6
68,9
69,6
70,10
71,6
72,10
73,7
74,7
75,10
76,0
77,11
78,11
79,3
80,2
81,3
82,10
83,0
84,1
85,6
86,5
87,0
88,3
89,1
90,6
91,7
92,2
93,7
94,10
95,5
96,3
97,6
98,3
99,10
100,1
101,7
102,3
103,5
104,7
105,7
106,10
107,3
108,8
109,3
110,7
111,7
112,7
113,7
114,2
115,6
116,4
117,9
118,2
119,6
120,7
121,6
122,2
123,8
124,7
125,4
126,2
127,7
128,0
129,0
130,3
131,6
132,7
133,7
134,2
135,9
136,3
137,3
138,1
139,2
140,7
141,0
142,3
143,8
144,6
145,7
146,2
147,8
148,1
149,4
150,1
151,9
152,1
153,1
154,6
155,10
156,9
157,8
158,1
159,1
160,10
161,6
162,11
163,11
164,1
165,4
166,7
167,8
168,5
169,5
170,5
171,8
172,5
173,10
174,7
175,7
176,3
177,2
178,10
179,8
180,5
181,3
182,7
183,2
184,4
185,3
186,2
187,10
188,10
189,2
190,10
191,2
192,2
193,10
194,7
195,3
196,2
197,4
198,11
199,11
200,6
201,10
202,1
203,6
204,6
205,1
206,1
207,7
208,4
209,7
210,6
211,2
212,1
213,11
214,11
215,9
216,0
217,1
218,1
219,1
220,1
221,4
222,1
223,11
224,1
225,0
226,11
227,3
228,9
229,9
230,9
231,6
232,10
233,5
234,1
235,3
236,1
237,7
238,6
239,10
240,2
241,10
242,6
243,6
244,10
245,4
246,3
247,7
248,2
249,10
250,9
251,1
252,9
253,1
254,7
255,10
256,9
257,1
258,1
259,1
260,6
261,3
262,9
263,10
264,3
265,6
266,1
267,1
268,9
269,1
270,1
271,9
272,7
273,10
274,7
275,9
276,7
277,7
278,7
279,4
280,1
281,4
282,8
283,6
284,1
285,7
286,5
287,8
288,3
289,1
290,1
291,4
292,4
293,0
294,1
295,1
296,1
297,3
298,1
299,1
300,11
301,11
302,6
303,6
304,7
305,8
306,9
307,3
308,5
309,3
310,9
311,1
312,4
313,10
314,7
315,10
316,0
317,11
318,3
319,10
320,8
321,6
322,8
323,1
324,1
325,3
326,10
327,6
328,1
329,6
330,8
331,4
332,4
333,4
334,4
335,6
336,11
337,1
338,3
339,8
340,1
341,5
342,7
343,3
344,10
345,3
346,0
347,6
348,10
349,5
350,7
351,4
352,7
353,4
354,10
355,4
356,3
357,9
358,1
359,3
360,9
361,9
362,9
363,3
364,4
