hour,load,wind,solar,cluster
0,91.488888888888894,24.922962962962966,41.180370370370376,0
1,86.51666666666668,30.442222222222224,60.70555555555557,0
2,82.538888888888877,31.204444444444441,78.394074074074069,0
3,80.550000000000011,31.691111111111105,87.554814814814804,0
4,81.544444444444451,31.935185185185194,92.979259259259265,0
5,88.505555555555546,31.254814814814814,89.38666666666667,0
6,102.42777777777776,29.658518518518513,77.662962962962965,0
7,121.32222222222224,26.986296296296306,59.516666666666666,0
8,138.22777777777779,25.030740740740743,39.851481481481478,0
9,144.19444444444446,22.409629629629627,19.995555555555558,0
10,140.21666666666664,23.560370370370372,5.2681481481481489,0
11,133.25555555555559,26.04296296296296,0.14518518518518517,0
12,127.28888888888888,27.040000000000006,0,0
13,124.30555555555556,27.281111111111116,0,0
14,126.29444444444445,27.776666666666671,0,0
15,132.26111111111109,25.510740740740744,0,0
16,142.20555555555555,27.136296296296294,0,0
17,153.14444444444447,27.31296296296296,0,0
18,159.11111111111111,27.96407407407407,0,0
19,161.10000000000002,29.286666666666665,0,0
20,150.1611111111111,27.971481481481486,0,0
21,131.26666666666668,27.340740740740738,0.43925925925925929,0
22,111.37777777777779,22.51592592592592,7.818888888888889,0
23,98.450000000000003,19.365555555555552,23.562962962962963,0
0,92.530769230769238,4.9171153846153848,36.663846153846158,1
1,87.501923076923077,5.3359615384615404,56.491346153846131,1
2,83.478846153846149,5.5300000000000002,73.823653846153832,1
3,81.467307692307699,5.0875000000000004,84.634423076923014,1
4,82.473076923076931,4.4603846153846156,87.651923076923069,1
5,89.513461538461513,4.1853846153846153,82.220192307692315,1
6,103.59423076923075,4.134038461538462,68.977307692307704,1
7,122.70384615384616,3.9863461538461542,50.177500000000002,1
8,139.80192307692306,4.46,29.792307692307684,1
9,145.83653846153845,5.6380769230769241,11.774423076923076,1
10,141.81346153846155,7.6209615384615388,1.8948076923076924,1
11,134.7730769230769,10.810576923076923,0.010769230769230771,1
12,128.73846153846154,14.620384615384619,0,1
13,125.72115384615384,18.152307692307691,0,1
14,127.73269230769232,21.420961538461547,0,1
15,133.76730769230767,23.173846153846149,0,1
16,143.82499999999996,24.226153846153839,0,1
17,154.88846153846151,24.169423076923081,0,1
18,160.92307692307693,23.653653846153833,0,1
19,162.9346153846154,23.370769230769231,0,1
20,151.87115384615387,22.634423076923074,0,1
21,132.76153846153849,21.281923076923078,0.095769230769230759,1
22,112.64615384615387,19.748076923076926,2.8286538461538457,1
23,99.57115384615382,16.996153846153849,13.714615384615378,1
0,91.488888888888894,3.9066666666666667,30.520370370370372,2
1,86.51666666666668,3.2903703703703711,49.935555555555545,2
2,82.538888888888877,3.7644444444444445,66.13111111111111,2
3,80.550000000000011,3.9466666666666668,75.264814814814827,2
4,81.544444444444451,3.5718518518518518,77.898148148148152,2
5,88.505555555555546,3.3122222222222226,70.326296296296306,2
6,102.42777777777776,4.3196296296296293,56.928518518518516,2
7,121.32222222222224,7.8140740740740746,40.306296296296296,2
8,138.22777777777779,11.576666666666666,22.452962962962967,2
9,144.19444444444446,16.589259259259261,8.8248148148148147,2
10,140.21666666666664,22.705925925925932,1.9022222222222225,2
11,133.25555555555559,24.829629629629625,0,2
12,127.28888888888888,23.608518518518515,0,2
13,124.30555555555556,19.392222222222223,0,2
14,126.29444444444445,13.469629629629628,0,2
15,132.26111111111109,9.6396296296296313,0,2
16,142.20555555555555,7.1637037037037032,0,2
17,153.14444444444447,5.6362962962962966,0,2
18,159.11111111111111,4.8855555555555554,0,2
19,161.10000000000002,4.3737037037037041,0,2
20,150.1611111111111,3.9218518518518524,0,2
21,131.26666666666668,3.4311111111111114,0.071111111111111111,2
22,111.37777777777779,2.9900000000000002,2.4885185185185188,2
23,98.450000000000003,2.4707407407407405,11.242222222222225,2
0,92.68148148148147,11.383333333333336,30.389259259259259,3
1,87.644444444444431,11.706296296296303,49.368888888888883,3
2,83.614814814814835,15.357777777777779,65.257777777777775,3
3,81.600000000000009,15.846666666666668,75.247037037037046,3
4,82.607407407407393,14.171851851851855,77.935555555555553,3
5,89.659259259259272,12.050740740740743,72.398888888888877,3
6,103.76296296296297,9.3607407407407415,59.739259259259242,3
7,122.90370370370368,6.198888888888888,45.877037037037042,3
8,140.0296296296296,3.6037037037037036,26.130370370370365,3
9,146.07407407407408,2.0640740740740742,9.9111111111111114,3
10,142.04444444444448,1.3474074074074072,2.4822222222222226,3
11,134.99259259259256,1.3292592592592594,0.029629629629629631,3
12,128.94814814814816,1.672962962962963,0,3
13,125.92592592592592,2.4011111111111112,0,3
14,127.94074074074072,3.2062962962962964,0,3
15,133.9851851851852,3.6633333333333331,0,3
16,144.05925925925925,3.791481481481481,0,3
17,155.14074074074071,3.7400000000000007,0,3
18,161.18518518518519,3.9377777777777783,0,3
19,163.20000000000002,5.3129629629629633,0,3
20,152.11851851851856,7.5059259259259248,0,3
21,132.97777777777776,6.572592592592593,0.24555555555555555,3
22,112.82962962962962,4.9362962962962973,4.3466666666666676,3
23,99.733333333333334,4.0825925925925928,16.675185185185185,3
0,91.163636363636357,1.7518181818181824,32.342727272727281,4
1,86.209090909090918,1.5595454545454543,52.692727272727282,4
2,82.24545454545455,1.4593181818181817,69.235454545454544,4
3,80.263636363636351,1.4861363636363636,77.59340909090912,4
4,81.25454545454545,1.5313636363636365,78.686363636363609,4
5,88.190909090909102,1.7179545454545453,74.163863636363615,4
6,102.06363636363635,1.8538636363636363,62.974318181818198,4
7,120.8909090909091,1.8777272727272729,45.50500000000001,4
8,137.73636363636362,1.6634090909090908,26.374090909090913,4
9,143.68181818181819,1.634772727272727,10.224545454545456,4
10,139.71818181818182,2.2838636363636367,2.084545454545454,4
11,132.78181818181818,2.6843181818181816,0.045227272727272727,4
12,126.83636363636364,2.9277272727272727,0,4
13,123.86363636363636,3.3870454545454538,0,4
14,125.84545454545454,3.5065909090909089,0,4
15,131.79090909090908,3.6377272727272727,0,4
16,141.70000000000005,4.2979545454545462,0,4
17,152.60000000000002,5.3804545454545458,0,4
18,158.54545454545453,8.7484090909090941,0,4
19,160.5272727272727,11.889090909090909,0,4
20,149.62727272727273,13.606818181818181,0,4
21,130.79999999999998,14.752499999999998,0.15136363636363637,4
22,110.9818181818182,14.604772727272724,3.3388636363636355,4
23,98.100000000000009,14.49159090909091,13.943181818181818,4
0,91.048275862068991,3.1099999999999999,29.794482758620688,5
1,86.100000000000023,2.0417241379310345,48.057931034482763,5
2,82.141379310344803,1.0920689655172415,61.833448275862054,5
3,80.162068965517236,0.58275862068965512,69.085862068965511,5
4,81.151724137931055,0.22896551724137934,72.294827586206893,5
5,88.07931034482759,0.12103448275862069,68.658620689655166,5
6,101.93448275862067,0.065862068965517245,58.991034482758643,5
7,120.73793103448278,0.0082758620689655175,43.975517241379308,5
8,137.56206896551728,0,27.506896551724143,5
9,143.5,0.020689655172413793,11.624137931034484,5
10,139.54137931034478,0.19931034482758619,3.0144827586206899,5
11,132.6137931034483,0.42206896551724143,0.051724137931034482,5
12,126.6758620689655,0.5237931034482759,0,5
13,123.70689655172414,0.64310344827586197,0,5
14,125.68620689655174,0.633793103448276,0,5
15,131.62413793103445,0.53275862068965518,0,5
16,141.52068965517239,0.4786206896551724,0,5
17,152.40689655172417,0.40206896551724136,0,5
18,158.34482758620689,0.27551724137931033,0,5
19,160.32413793103447,0.15724137931034485,0,5
20,149.43793103448272,0.18000000000000002,0,5
21,130.63448275862072,0.17344827586206898,0.12275862068965517,5
22,110.84137931034485,0.16758620689655171,3.5468965517241378,5
23,97.975862068965526,0.16241379310344828,13.627586206896554,5
0,92.534883720930225,4.8906976744186039,28.359302325581403,6
1,87.505813953488371,4.1751162790697673,43.914883720930227,6
2,83.482558139534888,5.2402325581395335,56.515116279069758,6
3,81.470930232558146,6.4944186046511625,62.47999999999999,6
4,82.476744186046517,7.6197674418604633,60.818604651162794,6
5,89.517441860465112,10.120232558139534,59.463953488372077,6
6,103.59883720930235,13.604651162790702,50.322093023255825,6
7,122.70930232558139,17.030465116279071,36.940697674418608,6
8,139.80813953488371,20.709069767441861,22.809069767441859,6
9,145.84302325581396,21.57116279069767,9.7469767441860444,6
10,141.81976744186048,24.525581395348841,2.2902325581395346,6
11,134.77906976744183,26.794883720930219,0.060465116279069767,6
12,128.74418604651163,25.978604651162794,0,6
13,125.72674418604652,23.697674418604649,0,6
14,127.73837209302326,22.077674418604651,0,6
15,133.77325581395348,20.608139534883719,0,6
