day,cluster
0,1
1,4
2,3
3,0
4,1
5,5
6,7
7,1
8,1
9,3
10,1
11,5
12,7
13,2
14,5
15,7
16,5
17,0
18,3
19,3
20,0
21,4
22,4
23,2
24,0
25,1
26,4
27,3
28,5
29,7
30,5
31,4
32,5
33,3
34,5
35,0
36,7
37,3
38,4
39,4
40,0
41,1
42,7
43,5
44,1
45,3
46,0
47,5
48,3
49,5
50,6
51,2
52,0
53,7
54,4
55,6
56,7
57,1
58,3
59,4
60,7
61,7
62,7
63,7
64,7
65,3
66,1
67,7
68,1
69,7
70,5
71,7
72,5
73,6
74,6
75,5
76,0
77,0
78,0
79,3
80,2
81,3
82,5
83,0
84,1
85,7
86,4
87,0
88,3
89,1
90,7
91,6
92,2
93,6
94,5
95,5
96,3
97,7
98,3
99,5
100,6
101,6
102,3
103,4
104,6
105,2
106,5
107,3
108,5
109,3
110,7
111,2
112,6
113,6
114,2
115,7
116,4
117,6
118,2
119,7
120,6
121,7
122,2
123,5
124,2
125,4
126,2
127,6
128,0
129,0
130,3
131,7
132,2
133,6
134,2
135,1
136,3
137,3
138,7
139,2
140,6
141,5
142,3
143,5
144,7
145,6
146,2
147,5
148,1
149,4
150,1
151,4
152,1
153,6
154,7
155,4
156,1
157,5
158,6
159,6
160,5
161,7
162,0
163,0
164,1
165,4
166,6
167,5
168,5
169,0
170,0
171,5
172,5
173,5
174,6
175,2
176,3
177,2
178,5
179,5
180,5
181,3
182,6
183,2
184,4
185,3
186,2
187,5
188,5
189,2
190,2
191,2
192,2
193,5
194,6
195,3
196,4
197,4
198,0
199,1
200,7
201,5
202,7
203,7
204,7
205,7
206,7
207,2
208,4
209,6
210,7
211,2
212,1
213,0
214,0
215,1
216,0
217,7
218,7
219,7
220,6
221,4
222,6
223,3
224,1
225,0
226,0
227,3
228,0
229,0
230,1
231,7
232,5
233,4
234,1
235,3
236,7
237,6
238,7
239,5
240,4
241,5
242,7
243,7
244,5
245,4
246,3
247,6
248,2
249,5
250,1
251,1
252,1
253,1
254,6
255,5
256,1
257,1
258,1
259,1
260,7
261,3
262,4
263,5
264,3
265,6
266,7
267,1
268,1
269,6
270,1
271,1
272,6
273,5
274,6
275,4
276,6
277,2
278,4
279,4
280,1
281,4
282,5
283,7
284,6
285,6
286,5
287,5
288,3
289,1
290,1
291,4
292,4
293,0
294,1
295,1
296,1
297,3
298,1
299,1
300,0
301,0
302,7
303,7
304,6
305,5
306,1
307,3
308,4
309,3
310,1
311,1
312,4
313,5
314,6
315,4
316,0
317,3
318,7
319,5
320,5
321,7
322,5
323,1
324,1
325,3
326,5
327,7
328,1
329,7
330,5
331,4
332,4
333,4
334,4
335,7
336,0
337,7
338,3
339,5
340,6
341,5
342,6
343,3
344,5
345,3
346,0
347,7
348,4
349,5
350,6
351,4
352,6
353,4
354,4
355,4
356,3
357,0
358,1
359,3
360,1
361,1
362,1
363,3
364,4
