hour,load,wind_available,solar_available,thermal,wind_used,solar_used,wind_curt,solar_curt,charge,discharge,unserved,energy_start_MWh,energy_MWh,soc,balance_error_MW
0,92,0,67.700000000000003,30,0,46.799999999994668,0,20.900000000005321,0,15.200000000005319,0,19.999999999999996,4,0.10000000000000001,-1.4210854715202004e-14
1,87,0,96.739999999999995,30,0,76.999999999999986,0,19.740000000000009,20,0,0,4,23,0.57499999999999996,-1.4210854715202004e-14
2,83,0,109.81,30,0,34.949999999993693,0,74.860000000006309,0,18.050000000006321,0,23,4,0.10000000000000001,1.4210854715202004e-14
3,81,0,123.89,30,0,71,0,52.890000000000015,20.000000000000004,0,0,4,23.000000000000004,0.57500000000000007,-3.5527136788005009e-15
4,82,0,132.22,30,0,33.949999999993686,0,98.27000000000632,0,18.050000000006321,0,23.000000000000004,4,0.10000000000000001,0
5,89,0,125.31,30,0,79,0,46.309999999999988,20,0,0,4,23,0.57499999999999996,0
6,103,0,112.77,30,0,63.121424999996542,0,49.648575000003454,0,9.8785750000034636,0,23,12.601499999999996,0.31503749999999991,1.4210854715202004e-14
7,122,0,95.909999999999997,45.25,0,95.909999999999997,0,0,19.159999999999989,0,0,12.601499999999996,30.803499999999985,0.77008749999999959,7.1054273576010019e-15
8,139,0,69.219999999999999,75.25,0,69.219999999999999,0,0,5.470000000000014,0,0,30.803499999999985,36,0.90000000000000002,-1.5099033134902129e-14
9,145,0,39.75,105.25,0,39.75,0,0,0,0,0,36,36,0.90000000000000002,0
10,141,0,12.32,120,0,12.32,0,0,0,8.6800000000000033,0,36,26.863157894740038,0.67157894736850099,0
11,134,0,0,120,0,0,0,0,0,13.999999999999998,0,26.863157894740038,12.126315789482041,0.30315789473705101,0
12,128,0,0,120,0,0,0,0,0,2.7200000000106481,5.2799999999893545,12.126315789482041,9.2631578947349933,0.23157894736837484,0
13,125,0,0,120,0,0,0,0,0,4.9999999999999929,0,9.2631578947349933,4,0.10000000000000001,0
14,127,0,0,120,0,0,0,0,0,0,6.9999999999999991,4,4,0.10000000000000001,0
15,133,0,0,120,0,0,0,0,0,0,12.999999999999996,4,4,0.10000000000000001,0
16,143,0,0,120,0,0,0,0,0,0,23.000000000000004,4,4,0.10000000000000001,0
17,154,0,0,120,0,0,0,0,0,0,33.999999999999993,4,4,0.10000000000000001,0
18,160,0,0,120,0,0,0,0,0,0,40.000000000000007,4,4,0.10000000000000001,0
19,162,0,0,120,0,0,0,0,0,0,41.999999999999993,4,4,0.10000000000000001,0
20,151,0,0,120,0,0,0,0,0,0,31.000000000000007,4,4,0.10000000000000001,0
21,132,0,0,120,0,0,0,0,0,0,11.999999999999993,4,4,0.10000000000000001,0
22,112,0,13,99.000000000000014,0,13,0,0,0,0,0,4,4,0.10000000000000001,1.4210854715202004e-14
23,99,0,41.299999999999997,74.542105263157893,0,41.299999999999997,0,0,16.842105263157894,0,0,4,19.999999999999996,0.49999999999999989,-3.5527136788005009e-15
