evaluation,generation,energy,power,cost,best_cost
1,0,12.857020276919961,27.467503809805173,511243.9700412383,511243.9700412383
2,0,60.149835762335748,6.2910053767375045,505374.6602982764,505374.6602982764
3,0,14.792608457745594,46.769496033216626,511914.91386517615,505374.6602982764
4,0,7.042057615419683,10.839827722968408,513867.45022867387,505374.6602982764
5,0,94.832845329177502,32.984761675837227,487974.61872617656,487974.61872617656
6,0,36.899312372979097,28.01255098114682,498420.07241959049,487974.61872617656
7,0,66.284295251679922,17.388896709250819,487684.21087616094,487684.21087616094
8,0,13.796807286695534,40.461781752679634,511916.13787864835,487684.21087616094
9,0,67.036058410248373,28.057204106742219,486597.76227915363,486597.76227915363
10,0,81.673643596965803,29.708387099151185,487158.99831515708,486597.76227915363
11,0,98.091363929730548,14.20292575985202,492681.97829834651,486597.76227915363
12,0,55.373036286522783,26.763111361552447,490990.95532023674,486597.76227915363
13,1,94.50897998697684,29.299398079471057,487723.12604529207,486597.76227915363
14,1,55.373036286522783,24.22436319634339,490807.12329206587,486597.76227915363
15,1,54.90483086136458,27.273610744457489,491214.73137350532,486597.76227915363
16,1,20.513481953307345,27.467503809805173,506607.89808283735,486597.76227915363
17,1,72.484112159250643,28.268789732375772,486687.69115721126,486597.76227915363
18,1,95.950242769195157,11.805211610225502,496425.71474624204,486597.76227915363
19,1,99.367703920040725,10.715612952138423,498294.53384666273,486597.76227915363
20,1,33.115804895510166,28.107768061364208,499941.39964981884,486597.76227915363
21,1,37.487697720458506,29.444858192509543,498292.26679298724,486597.76227915363
22,1,87.370079995974947,12.718359203638272,494574.16270026815,486597.76227915363
23,1,98.091363929730548,14.20292575985202,492681.97829834651,486597.76227915363
24,2,70.284171647286328,39.506952794948411,487419.66776086867,486597.76227915363
25,2,93.225358340009805,7.9161180958274686,503284.39469475427,486597.76227915363
26,2,88.024877651163862,12.570281423693551,494842.20544454025,486597.76227915363
27,2,99.022433749268032,8.3609518049404556,502577.66704645078,486597.76227915363
28,2,47.340872956377964,24.22436319634339,494011.89765671937,486597.76227915363
29,2,87.370079995974947,12.718359203638272,494574.16270026815,486597.76227915363
30,2,33.115804895510166,28.10765345999155,499941.38869120023,486597.76227915363
31,2,67.036058410248373,28.057318708114881,486597.77057749656,486597.76227915363
32,2,68.272832482990324,28.605406228498271,486555.50827928243,486555.50827928243
33,2,59.239942807228957,28.303680608818528,489584.55970510468,486555.50827928243
34,2,96.229308975594435,9.5027068898513001,500128.3197436466,486555.50827928243
35,3,69.888118704708717,30.06518373575863,486721.26096489606,486555.50827928243
36,3,62.797119947067699,28.605406228498271,488251.74846419017,486555.50827928243
37,3,67.036058410248373,28.306671314294526,486615.82632479427,486555.50827928243
38,3,67.036058410248373,28.057318708114881,486597.77057749656,486555.50827928243
39,3,74.852543681802317,29.210315394608418,486843.91570224846,486555.50827928243
40,3,46.666263422450349,21.453691981304246,494080.43622933567,486555.50827928243
41,3,72.443681976743335,36.125108647809967,487255.06812885165,486555.50827928243
42,3,59.239942807228957,27.924210171612398,489557.0820603905,486555.50827928243
43,3,66.043589910926656,28.05719916306909,486975.71800089593,486555.50827928243
44,3,67.036058410248373,25.669081707571628,486424.83713826089,486424.83713826089
45,3,98.064034862544972,5.6281824115543513,508509.35562858044,486424.83713826089
46,4,81.669554841878224,29.210315394608418,487126.83464076393,486424.83713826089
47,4,70.210042079985612,23.209427887523923,486236.79998521449,486236.79998521449
48,4,60.368056747305424,28.306671314294526,489155.16310957458,486236.79998521449
49,4,67.036058410248373,25.669081707571628,486424.83713826089,486236.79998521449
50,4,79.263898663189252,28.246382476782411,486954.29883253609,486236.79998521449
51,4,77.66712122600569,27.740827413299822,486848.39616106264,486236.79998521449
52,4,67.84231881475894,28.605406228498271,486539.50361416815,486236.79998521449
53,4,63.227633615299091,28.605406228498271,488087.79841598263,486236.79998521449
54,4,54.397875788913396,29.266768404373519,491561.32828195923,486236.79998521449
55,4,64.551896531552913,25.669081707571628,487370.86624214589,486236.79998521449
56,4,73.847821783295075,24.244969542342922,486458.50419909932,486236.79998521449
57,5,70.188896508134945,26.515178207691807,486475.38492186088,486236.79998521449
58,5,67.863464386609593,22.651844535537499,486109.18932777969,486109.18932777969
59,5,60.368056747305424,28.306671314294526,489155.16310957458,486109.18932777969
60,5,68.804557227766125,23.896897022623381,486234.33002771629,486109.18932777969
61,5,81.669554841878224,29.210315394608418,487126.83464076393,486109.18932777969
62,5,58.657293805935481,23.832699462117347,489482.70059099293,486109.18932777969
63,5,64.551896531552913,24.196780050404168,487264.25614059053,486109.18932777969
64,5,67.036058410248373,25.669081707571628,486424.83713826089,486109.18932777969
65,5,80.50495807536474,28.281626249537183,487013.64619545185,486109.18932777969
66,5,68.200655176391749,24.970088386816254,486289.58984582161,486109.18932777969
67,5,66.543802173963002,25.627771077637416,486609.30893068435,486109.18932777969
68,6,64.181898363054628,25.53569871137779,487502.11219041498,486109.18932777969
69,6,80.874956241778591,24.196780050404168,486779.14093800605,486109.18932777969
70,6,70.226347464731788,25.669081707571628,486415.5109169588,486109.18932777969
71,6,65.627470743354834,23.209427887523923,486783.15672419051,486109.18932777969
72,6,70.055201276535044,23.896897022623381,486280.82364837173,486109.18932777969
73,6,85.525828680424695,28.281626249537183,487244.59015019098,486109.18932777969
74,6,66.567514114522709,28.7723102463823,486827.97650714585,486109.18932777969
75,6,67.635821679622637,21.222408144665007,486010.3886272044,486010.3886272044
76,6,77.908043573878956,24.970088386816254,486684.21752583422,486010.3886272044
77,6,60.368056747305424,28.306671314294526,489155.16310957458,486010.3886272044
78,6,69.098176448301857,29.570335748200925,486656.06208426662,486010.3886272044
79,7,69.063215867605322,29.886968020758388,486677.68990042486,486010.3886272044
80,7,70.790011740258976,21.523853476098932,486171.66604816442,486010.3886272044
81,7,75.258595612577182,16.904622117470694,488608.75768491894,486010.3886272044
82,7,76.115138743240209,23.887850144787297,486543.60770157172,486010.3886272044
83,7,67.635821679622637,21.111681683044758,486004.43998114351,486004.43998114351
84,7,66.503529042583935,29.580381429459834,486910.85641440074,486004.43998114351
85,7,70.521127265726477,28.575253950753183,486636.90696479433,486004.43998114351
86,7,85.525828680424695,25.375454006355628,487058.01738529542,486004.43998114351
87,7,67.863464386609593,22.651844535537499,486109.18932777969,486004.43998114351
88,7,66.567514114522709,28.7723102463823,486827.97650714585,486004.43998114351
89,7,65.627470743354834,23.187257161423656,486781.55133079196,486004.43998114351
