seed,energy,power,cost,evaluations,wall_seconds,signed_relative_difference,absolute_relative_difference,quality_loss,passed
42,68.652767742275159,23.353115785281531,486189.31166877132,89,30.533615099997405,-0.00034817119405950548,0.00034817119405950548,0,True
7,67.582386673449221,24.387741904642517,486224.43725448637,89,31.688142700000753,-0.00027594962284188272,0.00027594962284188272,0,True
2026,67.96559501209677,23.417732878691023,486168.44446870399,89,32.703922799999418,-0.00039107615763791555,0.00039107615763791555,0,True
11,67.635821679622637,21.111681683044758,486004.43998114351,89,33.936678800000664,-0.00072828510482659452,0.00072828510482659452,0,True
23,69.107587714156153,21.120890396974488,486072.63122845767,89,38.341534799998044,-0.00058807736382920385,0.00058807736382920385,0,True
101,68.966825168056502,21.423976539095744,486082.43954120117,89,33.568905199997971,-0.00056791053264593216,0.00056791053264593216,0,True
314,70.015969166368677,22.764199073497934,486202.69864712306,89,35.26824040000065,-0.00032064628335019032,0.00032064628335019032,0,True
509,67.459965721589711,22.664197033652481,486095.08341604588,89,33.825024800000392,-0.00054191351397778111,0.00054191351397778111,0,True
1024,69.834786734285814,20.881818739975156,486093.23621511506,89,34.402717299999495,-0.0005457115361562722,0.0005457115361562722,0,True
4096,68.082100124205098,20.726676719968594,486004.28343028715,89,31.36705449999863,-0.00072860698839357296,0.00072860698839357296,0,True
