evaluation,generation,energy,power,cost,best_cost
70,6,76.108874836856856,29.742330701104237,486929.14424051926,486209.03273188113
71,6,81.257659805292732,30.206227992802553,487171.8251810589,486209.03273188113
72,6,56.433352134268667,21.445015495267647,490182.81107021112,486209.03273188113
73,6,80.878148090614886,22.593909416183994,486693.17545459478,486209.03273188113
74,6,75.808774008537384,20.937752013958466,486371.02542958769,486209.03273188113
75,6,71.345904414619511,19.840561473994967,486551.99367916281,486209.03273188113
76,6,78.997354312257158,28.446955435898381,486954.91518962913,486209.03273188113
77,6,71.345904414619511,21.743447080792954,486209.03273188113,486209.03273188113
78,6,71.132359164671655,23.466800684782765,486291.79543581704,486209.03273188113
79,7,75.808774008537384,20.933458008976189,486370.79473933124,486209.03273188113
80,7,71.426026736301893,21.634223562553238,486206.85019963415,486206.85019963415
81,7,70.222986714495704,19.470015314794416,486684.23630471842,486206.85019963415
82,7,68.652767742275159,23.353115785281531,486189.31166877132,486189.31166877132
83,7,76.03892105246662,31.509582077551798,487054.51121535257,486189.31166877132
84,7,80.878148090614886,23.211881953185092,486726.37528636359,486189.31166877132
85,7,80.878148090614886,22.593909416183994,486693.17545459478,486189.31166877132
86,7,71.132359164671655,25.810437005596384,486459.428182323,486189.31166877132
87,7,79.065125635027854,30.056189628628314,487061.77174023772,486189.31166877132
88,7,76.2716134722682,21.893485444968043,486443.66019122675,486189.31166877132
89,7,71.44249834177424,31.203292134711319,486861.45718154107,486189.31166877132
