seed,energy,power,cost,evaluations,relative_error,wall_seconds
42,67.403153585180149,20.648839272271207,485969.51074261055,1480,0.00080010296741683871,105.90922130000035
7,67.375803934000061,20.74789492925423,485972.93599217612,1480,0.00079306032598035051,101.14587600000232
2026,67.347703237250272,20.914775155193833,485980.60888974962,1480,0.00077728411307829124,108.49300829999993
